"Commuting duration by main mode of commuting and time arriving at work: Canada, provinces and territories, census divisions and census subdivisions of work",Unnamed: 1,Unnamed: 3,Unnamed: 5,Unnamed: 7,Unnamed: 9,Unnamed: 11,Unnamed: 13,Unnamed: 15,Unnamed: 17,Unnamed: 19,Unnamed: 21,Unnamed: 23,Unnamed: 25,Unnamed: 27,Unnamed: 29,Unnamed: 31,Unnamed: 33,Unnamed: 35,Unnamed: 37,Unnamed: 39,Unnamed: 41,Unnamed: 43,Unnamed: 45,Unnamed: 47,Unnamed: 49,Unnamed: 51,Unnamed: 53,Unnamed: 55,Unnamed: 57,Unnamed: 59,Unnamed: 61,Unnamed: 63,Unnamed: 65,Unnamed: 67,Unnamed: 69,Unnamed: 71,Unnamed: 73,Unnamed: 75,Unnamed: 77,Unnamed: 79,Unnamed: 81,Unnamed: 83,Unnamed: 85,Unnamed: 87,Unnamed: 89,Unnamed: 91,Unnamed: 93,Unnamed: 95,Unnamed: 97,Unnamed: 99,Unnamed: 101,Unnamed: 103,Unnamed: 105,Unnamed: 107,Unnamed: 109,Unnamed: 111,Unnamed: 113,Unnamed: 115,Unnamed: 117,Unnamed: 119,Unnamed: 121,Unnamed: 123,Unnamed: 125,Unnamed: 127,Unnamed: 129,Unnamed: 131,Unnamed: 133,Unnamed: 135,Unnamed: 137,Unnamed: 139,Unnamed: 141,Unnamed: 143
Point Edward i2488,800,390,85,35,35,15.2,20,15,15,0,0,22,0,10,0,0,0,34,0,10,0,0,0,34,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,20,10,10,0,0,17.5,0,10,10,0,0,23,15,0,0,0,0,8.5,0,0,0,0,0,,0,0,0,0,0,
Plympton-Wyoming i2489,335,340,90,25,15,17.1,80,0,0,0,0,3.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,80,0,0,0,0,3.4,70,0,0,0,0,3.3,0,0,0,0,0,,0,0,0,0,0,,15,0,0,0,0,1.9
Lambton Shores i2490,"1,220",750,320,155,120,18.8,260,50,0,0,0,7,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,260,50,0,0,0,7,250,50,0,0,0,7,15,0,0,0,0,7.6,0,0,0,0,0,,65,0,0,0,0,1
Warwick i2491,305,310,100,30,0,17.1,60,10,0,0,0,6.1,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,60,10,0,0,0,6.1,50,10,0,0,0,6.2,0,0,0,0,0,,0,0,0,0,0,,30,0,0,0,0,1
Kettle Point 44 i2492,100,10,0,0,0,10.6,10,0,0,0,0,10,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,10,10,0,0,0,0,4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Middlesex i2493,"43,875","53,960","17,390","4,280","3,170",19.3,"5,185","5,265","3,095","1,285","1,320",24,695,"2,575","2,335","1,110","1,155",33.9,690,"2,560","2,330","1,110","1,155",33.9,0,0,0,0,0,,0,0,0,0,0,,0,10,0,0,0,26,"4,495","2,695",760,180,170,14.6,"4,055","2,125",535,135,140,13.7,435,570,225,45,35,19.4,50,85,10,0,0,18,"2,035",645,130,25,70,11.1
Newbury i2494,65,50,25,30,15,24.3,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,
Southwest Middlesex i2495,410,260,120,50,35,19.7,85,0,0,0,0,5.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,85,0,0,0,0,5.4,85,0,0,0,0,4.2,0,0,0,0,0,,0,0,0,0,0,,35,0,0,0,0,1.2
Strathroy-Caradoc i2496,"3,425","1,835","1,585",400,165,19.1,280,80,45,0,0,12.8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,275,80,40,0,0,12.5,220,65,40,0,0,13.2,55,15,0,0,0,8.8,0,0,0,0,0,,80,0,0,0,0,5.2
Chippewas of the Thames First Nation 42 i2497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Munsee-Delaware Nation 1 i2498,10,15,10,0,0,26,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Oneida 41 i2499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thames Centre i2500,795,"1,060",455,100,60,20.1,135,20,0,0,0,6.7,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,135,10,0,0,0,6,120,0,0,0,0,3.6,15,0,0,0,0,17,0,0,0,0,0,,35,0,0,0,10,28.8
Middlesex Centre i2501,885,"1,335",580,125,75,20.7,160,0,0,0,0,5,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,160,0,0,0,0,3.2,150,0,0,0,0,3.3,10,0,0,0,0,,0,0,0,0,0,,90,10,0,0,0,4.6
London i2502,"37,175","48,420","13,935","3,395","2,760",19.2,"4,245","5,140","3,040","1,280","1,320",25.2,690,"2,560","2,325","1,105","1,155",33.9,685,"2,545","2,325","1,105","1,150",33.9,0,0,0,0,0,,0,0,0,0,0,,0,10,0,0,0,24,"3,560","2,580",715,170,165,15.7,"3,210","2,025",495,135,135,14.8,345,550,215,40,35,20.3,50,80,10,0,0,18,"1,735",620,90,25,60,11.3
North Middlesex i2503,355,360,225,40,15,19.2,90,0,0,0,0,3.8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,90,0,0,0,0,3.8,85,0,0,0,0,3.6,0,0,0,0,0,,0,0,0,0,0,,30,0,10,0,0,9.2
Adelaide-Metcalfe i2504,400,295,210,85,10,20.9,75,10,0,0,0,5.8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,75,10,0,0,0,5.8,75,10,0,0,0,5.8,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,
Lucan Biddulph i2505,350,285,190,40,35,20.6,110,0,0,0,0,5.5,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,110,0,0,0,0,4.7,100,0,0,0,0,4.6,10,0,0,0,0,,0,0,0,0,0,,15,0,20,0,0,22
Huron i2506,"7,295","4,800","2,005",720,455,17.8,"1,250",220,20,10,0,7.5,25,0,0,0,0,7,25,0,0,0,0,7,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"1,230",215,20,10,0,7.5,"1,135",195,10,0,0,7.2,95,20,0,0,0,10.4,15,0,0,0,0,,170,30,0,0,15,9.2
South Huron i2507,"1,500","1,040",560,250,95,19.8,155,40,0,10,0,8.6,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,155,40,0,10,0,8.6,125,35,0,0,0,8.5,25,0,0,0,0,9.2,0,0,0,0,0,,35,10,0,0,0,5.2
Bluewater i2508,785,670,205,95,55,18.2,245,10,0,0,0,4.1,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,245,10,0,0,0,4.1,230,10,0,0,0,4.1,15,0,0,0,0,4.8,0,0,0,0,0,,35,0,0,0,0,15.2
Central Huron i2509,675,620,190,95,70,19.3,145,20,0,0,0,6.9,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,145,20,0,0,0,6.9,130,20,0,0,0,7,15,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Goderich i2510,"2,080",975,370,105,115,15.7,245,75,15,0,0,10.1,15,0,0,0,0,8,15,0,0,0,0,8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,225,75,15,0,0,10.2,200,70,10,0,0,9.9,20,10,0,0,0,13.2,0,0,0,0,0,,45,0,0,0,0,3
Huron East i2511,820,530,285,80,60,18.4,145,10,0,0,0,5,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,145,10,0,0,0,5,130,10,0,0,0,5,15,0,0,0,0,,0,0,0,0,0,,20,0,0,0,0,13.6
Howick i2512,165,195,35,0,0,15.4,60,0,0,0,0,5.9,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,60,0,0,0,0,5.9,60,0,0,0,0,4.8,0,0,0,0,0,,0,0,0,0,0,,20,0,0,0,0,7.6
Morris-Turnberry i2513,350,150,85,50,15,17.6,30,10,0,0,0,8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,30,10,0,0,0,8,30,10,0,0,0,8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
North Huron i2514,880,555,260,40,40,16.8,220,45,0,0,0,8.9,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,220,45,0,0,0,9,210,45,0,0,0,8.5,10,0,0,0,0,16,0,0,0,0,0,,15,0,0,0,0,14.4
Ashfield-Colborne-Wawanosh i2515,45,65,20,0,0,17.6,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Bruce i2516,"7,355","6,470","3,435","1,375","1,135",22.6,"1,090",215,75,20,0,8.8,0,0,15,0,0,27,0,0,15,0,0,28,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"1,085",205,55,15,0,8.4,980,175,45,0,0,7.8,100,35,10,10,0,13,0,0,0,0,0,,340,80,20,25,15,12.3
South Bruce i2517,350,270,75,50,35,19.9,90,10,0,0,0,6,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,90,10,0,0,0,6,85,10,0,0,0,6.1,0,0,0,0,0,,0,0,0,0,0,,70,0,0,0,0,3.2
Huron-Kinloss i2518,340,280,95,40,30,18.8,95,0,0,0,0,3.6,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,95,0,0,0,0,3.6,95,0,0,0,0,3.6,0,0,0,0,0,,0,0,0,0,0,,0,15,20,25,0,36.5
Kincardine i2519,"1,800","3,150","2,045",935,865,29.7,145,45,35,0,0,13.7,0,0,15,0,0,32,0,0,15,0,0,32,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,145,40,20,0,0,11.6,125,40,15,0,0,10.6,20,0,0,0,0,18,0,0,0,0,0,,45,25,0,0,10,16.8
Brockton i2520,"1,460",940,350,85,75,16.5,120,10,10,0,0,7.8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,115,10,10,0,0,7.8,110,10,10,0,0,7.7,0,0,0,0,0,,0,0,0,0,0,,45,0,0,0,0,6.6
Arran-Elderslie i2521,485,405,215,75,15,18.6,100,0,0,0,0,4.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,100,0,0,0,0,4.4,100,0,0,0,0,4.4,0,0,0,0,0,,0,0,0,0,0,,20,0,0,0,0,4.4
Saugeen Shores i2522,"1,660",660,325,125,60,15.5,300,100,30,0,0,10.3,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,300,100,30,0,0,10.3,245,80,25,0,0,9.8,60,15,10,0,0,12.4,0,0,0,0,0,,70,35,0,0,0,10.7
South Bruce Peninsula i2523,745,610,230,25,25,16.2,130,15,0,0,0,7.7,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,130,15,0,0,0,7.7,120,15,0,0,0,7.3,0,0,0,0,0,,0,0,0,0,0,,45,0,0,0,0,3.5
Chief's Point No. 28 i2524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saugeen 29 i2525,60,10,0,0,0,8.4,15,0,0,0,0,4.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,15,0,0,0,0,4.8,15,0,0,0,0,4.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Neyaashiinigmiing 27 i2526,80,10,10,15,10,17.6,0,10,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,10,0,0,0,,0,0,0,0,0,,0,10,0,0,0,18,0,0,0,0,0,,0,0,0,0,0,
Northern Bruce Peninsula i2527,375,125,80,25,25,18.1,95,30,0,0,0,7.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,95,30,0,0,0,7.2,90,25,0,0,0,6.8,0,0,0,0,0,,0,0,0,0,0,,45,0,0,0,0,6.5
Grey i2528,"10,100","7,405","2,965","1,055",870,19.1,"1,400",430,180,40,45,12.4,15,85,50,0,15,26,15,35,35,0,15,30.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"1,390",345,130,35,25,11.2,"1,295",300,120,35,20,10.7,95,40,10,0,0,17,15,0,20,0,0,18.5,440,70,0,0,0,5.3
West Grey i2529,355,320,95,55,25,18.5,100,15,0,0,0,5,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,100,15,0,0,0,5,100,15,0,0,0,5.1,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Southgate i2530,580,415,155,75,80,19.4,105,20,25,0,0,9.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,105,20,25,0,0,9.4,105,10,25,0,0,8.9,0,10,0,0,0,,0,0,0,0,0,,65,10,0,0,0,4.9
Grey Highlands i2531,575,720,530,135,110,24.8,195,20,0,0,0,5.1,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,195,20,0,0,0,5.1,190,15,0,0,0,5,0,0,0,0,0,,0,0,0,0,0,,65,0,0,0,0,4.2
Hanover i2532,"1,875","1,140",285,135,95,15.8,255,65,0,10,0,10.6,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,255,65,0,10,0,10.6,240,65,0,10,0,10.7,20,0,0,0,0,7.6,0,0,20,0,0,,55,0,0,0,0,3.5
Chatsworth i2533,155,220,125,15,20,22.3,75,0,0,0,0,4.9,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,75,0,0,0,0,4.9,70,0,0,0,0,4.9,0,0,0,0,0,,0,0,0,0,0,,0,10,0,0,0,11
The Blue Mountains i2534,820,860,310,140,170,23.3,150,45,30,10,0,16.1,0,20,25,0,0,23.2,0,20,15,0,0,21.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,145,25,0,10,0,14,130,15,0,10,0,9.3,15,10,0,0,0,46,0,0,0,0,0,,105,0,0,0,0,3.8
Meaford i2535,780,425,265,35,95,19.8,150,25,0,0,0,9.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,150,25,0,0,0,8.1,140,25,0,0,0,8.2,10,0,0,0,0,,0,0,0,0,0,,45,10,0,0,0,3.7
Georgian Bluffs i2536,865,710,245,55,40,17.6,65,50,10,0,0,14.9,0,50,0,0,0,21.6,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,65,0,10,0,0,10,55,0,10,0,0,10,0,0,0,0,0,,0,0,0,0,0,,45,15,0,0,0,6
Owen Sound i2537,"4,095","2,600",950,420,235,18,305,185,105,15,30,17.9,10,10,25,0,10,30,10,10,25,0,10,30,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,300,170,80,10,20,16.7,255,150,75,10,20,17.1,40,20,10,0,0,13.6,15,0,0,0,0,8.5,60,20,0,0,0,9.1
Simcoe i2538,"47,130","37,690","18,150","7,985","5,930",21.2,"4,705","2,240","1,125",380,565,18.2,285,610,565,270,455,36.4,275,600,555,265,380,34.6,0,0,0,0,20,90,0,0,0,0,50,82,10,0,0,0,0,34,"4,415","1,630",560,105,110,12.4,"4,015","1,325",485,95,85,11.9,400,300,75,15,25,16.2,95,45,15,0,0,16.4,"1,855",435,120,65,100,11.2
Adjala-Tosorontio i2539,360,265,140,115,65,23.6,30,15,0,0,0,9.6,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,30,15,0,0,0,9.6,30,10,0,0,0,8,0,0,0,0,0,,0,0,0,0,0,,35,0,0,0,0,1
Clearview i2540,"1,035",880,390,135,80,19.1,185,10,0,0,10,8.1,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,185,10,0,0,0,7,170,10,0,0,0,6.6,15,0,0,0,0,10.4,0,0,0,0,0,,45,10,0,0,0,3.6
New Tecumseth i2541,"4,120","3,580","3,695","2,235","1,410",28.7,395,170,45,10,10,12.5,0,0,0,0,10,56,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,395,170,35,10,0,11.4,375,145,35,10,0,11.2,20,30,0,0,0,13.6,0,0,0,0,0,,150,40,15,10,15,15.5
Springwater i2542,950,"1,075",575,195,100,21.4,255,10,10,0,0,5.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,245,10,10,0,0,4.5,240,10,10,0,0,4,10,0,0,0,0,,0,0,0,0,0,,60,10,35,0,0,14.6
Bradford West Gwillimbury i2543,"2,600","1,595","1,500",455,390,22.6,260,110,60,10,40,21.4,15,15,0,0,30,52,15,15,0,0,0,21,0,0,0,0,20,90,0,0,0,0,15,,0,0,0,0,0,,250,90,55,0,10,16.2,220,60,55,0,10,16.7,35,30,0,0,0,13.8,0,0,0,0,0,,110,20,25,0,15,15.1
Severn i2544,705,525,225,70,125,21.3,85,25,0,0,0,6.5,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,75,20,0,0,0,6,75,20,0,0,0,6,0,0,0,0,0,,0,0,0,0,0,,40,0,0,0,0,4.2
Innisfil i2545,"1,895","2,005",740,380,350,22.3,265,80,15,0,10,10.4,0,10,15,0,10,54,0,10,15,0,0,46,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,265,75,0,0,0,7.2,260,55,0,0,0,6.7,10,15,0,0,0,13.2,0,0,0,0,0,,185,40,15,0,10,11.4
Ramara i2546,200,375,145,80,65,24.8,45,10,0,0,0,12.8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,45,10,0,0,0,6.9,40,10,0,0,0,6.6,0,0,0,0,0,,0,0,0,0,0,,0,0,0,30,0,50
Essa i2547,"1,880","1,490",865,255,260,21.7,220,90,15,0,0,10.9,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,220,90,15,0,0,9.8,215,90,15,0,0,9.9,0,0,0,0,0,,10,0,0,0,0,,95,45,0,0,0,8.9
Oro-Medonte i2548,930,"1,365",590,160,180,23.1,120,20,10,0,10,10.8,0,0,10,0,0,34,0,0,10,0,0,34,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,120,15,0,0,0,7.1,110,10,0,0,0,6.7,10,0,0,0,0,,0,0,0,0,0,,70,25,0,0,0,7.6
Collingwood i2549,"3,640","2,080",800,325,290,18,410,205,120,10,20,16.7,15,15,40,10,10,34.4,15,15,40,10,10,34.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,395,195,75,0,0,14.2,310,140,60,0,0,14.5,80,50,10,0,0,13.1,0,0,0,0,0,,115,30,0,0,0,6.8
Barrie i2550,"16,340","15,035","5,380","2,305","1,600",20,"1,115",915,635,280,395,25.9,150,425,400,225,325,37,150,415,400,225,290,35.9,0,0,0,0,0,,0,0,0,0,30,84,0,0,0,0,0,24,965,490,235,50,75,16.5,885,390,200,45,50,15.6,80,105,35,10,20,22.2,20,15,10,0,0,15.8,550,180,20,20,35,11.7
Chippewas of Rama First Nation i2551,210,145,55,30,35,23.8,20,0,0,0,0,11.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,20,10,0,0,0,5.4,20,10,0,0,0,6,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
Orillia i2552,"5,230","3,305","1,840",575,420,19.5,520,340,125,40,30,16.8,60,80,85,25,25,28.1,60,80,85,25,25,28.1,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,455,255,50,20,10,12.9,405,225,40,20,10,12.8,55,35,0,0,0,13.8,25,0,0,0,0,10,145,0,15,0,0,9.3
Wasaga Beach i2553,"1,230",555,270,90,80,17.8,135,75,10,0,0,12.2,10,35,0,0,0,16.4,0,35,0,0,0,17.5,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,125,40,10,0,0,11.2,105,25,0,0,0,10.3,20,20,0,0,0,13.8,0,0,0,0,0,,120,0,0,0,0,1.8
Tiny i2554,330,240,70,40,80,23.3,90,0,0,0,0,13.1,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,90,0,0,0,0,1.9,90,0,0,0,0,1.9,0,0,0,0,0,,0,0,0,0,0,,50,0,0,0,0,3.5
Christian Island 30 i2555,165,10,0,0,0,6.9,20,10,10,0,0,10.4,0,0,10,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,10,0,0,,20,10,10,0,0,9.2,20,10,10,0,0,9.2,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,8
Christian Island 30A i2556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tay i2557,250,185,140,10,35,22,105,0,0,0,0,5.7,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,105,0,0,0,0,5.7,90,0,0,0,0,4.1,10,0,0,0,0,14,0,0,0,0,0,,15,0,0,0,0,1
Penetanguishene i2558,"1,380",975,220,295,160,20.3,125,45,10,0,0,10.7,0,10,0,0,0,,0,10,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,125,40,10,0,0,10.6,115,35,0,0,0,10.3,10,0,0,0,0,13,0,0,0,0,0,,10,15,0,0,10,33
Midland i2559,"3,680","2,015",500,250,190,16.1,305,105,55,10,30,15.5,25,15,0,0,20,30.4,25,15,0,0,20,30.4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,285,90,55,10,10,13.4,255,90,50,10,0,12.9,30,0,10,0,0,17.6,15,15,0,0,0,11.2,70,15,0,0,0,10.7
Muskoka i2560,"6,970","5,825","2,945",920,745,20.7,820,235,55,25,30,11.5,20,0,0,10,15,45,20,0,0,10,15,46,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,805,230,45,20,10,9.7,755,205,40,15,10,9.4,55,25,10,0,0,13.3,15,0,0,0,0,5.2,290,40,0,10,35,19.1
Gravenhurst i2561,"1,125","1,020",490,155,125,21.4,235,70,10,0,0,8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,235,70,10,0,0,8,230,50,10,0,0,7.6,10,20,0,0,0,13.6,10,0,0,0,0,,50,10,0,0,10,29.6
Bracebridge i2562,"2,225","1,660",845,250,200,19.3,195,50,25,0,15,15.1,0,0,0,0,10,76,0,0,0,0,10,76,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,195,50,20,0,0,9.7,160,50,20,0,0,9.9,30,0,0,0,0,8,0,0,0,0,0,,45,0,0,10,15,27.2
Lake of Bays i2563,250,150,155,50,15,20.8,15,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,15,0,0,0,0,,15,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,35,0,0,0,0,5
Huntsville i2564,"2,645","2,315",890,225,235,19.3,270,90,20,15,0,10.7,15,0,0,0,0,5.2,15,0,0,0,0,5.2,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,255,85,20,15,0,11,240,80,15,10,0,10.2,15,10,0,0,0,19,0,0,0,0,0,,100,20,0,0,0,7.3
Muskoka Lakes i2565,495,515,425,175,135,26.3,55,25,0,0,0,15.8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,55,25,0,0,0,13.7,50,25,0,0,0,13.8,0,0,0,0,0,,0,0,0,0,0,,30,0,0,0,0,3.6
Georgian Bay i2566,205,165,145,75,35,26.2,50,0,0,0,0,11.8,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,50,0,0,0,0,6,50,0,0,0,0,6,0,0,0,0,0,,0,0,0,0,0,,20,0,0,0,10,66
Wahta Mohawk Territory i2567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moose Point 79 i2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haliburton i2569,"1,520","1,465",385,145,215,20.1,180,35,0,0,0,7.1,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,180,30,0,0,0,6.8,175,30,0,0,0,6.7,0,0,0,0,0,,0,0,0,0,0,,115,25,0,0,0,6.1
Highlands East i2570,115,35,0,15,10,16.3,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,0,0,0,0,
Minden Hills i2571,505,535,155,55,95,20.3,70,20,0,0,0,9,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,70,20,0,0,0,9,65,20,0,0,0,8.9,0,0,0,0,0,,0,0,0,0,0,,45,0,0,0,0,1.3
Algonquin Highlands i2572,55,55,35,10,20,28.6,15,0,0,0,0,4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,15,0,0,0,0,4,15,0,0,0,0,4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
