Geography,Province or Territory Abbreviation,Population (2021),Population (2016),Population Percentage Change (2016->2021),Land area (2021) (km^2),Population density per km^2 (2021)
Tingwick,Que.,"1,484","1,410",5.2,169.48,8.8
Victoriaville,Que.,"47,760","46,130",3.5,84.33,566.4
Warwick,Que.,"4,729","4,635",2,109.6,43.1
Carleton-sur-Mer,Que.,"4,081","4,073",0.2,221.48,18.4
Escuminac,Que.,575,544,5.7,108.7,5.3
Gesgapegiag,Que.,637,653,-2.5,2.2,289.8
L'Ascension-de-Patapédia,Que.,148,164,-9.8,95.98,1.5
Listuguj 2 5,Que.,0,"1,514",0,44.23,0
Maria,Que.,"2,760","2,615",5.5,94.88,29.1
Matapédia,Que.,566,645,-12.2,71.59,7.9
Nouvelle 2,Que.,"1,782","1,681",6,234.66,7.6
Pointe-à-la-Croix 2,Que.,"1,344","1,408",-4.5,390.73,3.4
Ristigouche-Partie-Sud-Est,Que.,170,171,-0.6,51.76,3.3
Rivière-Nouvelle,Que.,0,0,0,"1,087.60",0
Ruisseau-Ferguson,Que.,0,0,0,675.94,0
Saint-Alexis-de-Matapédia,Que.,519,500,3.8,84.91,6.1
Saint-André-de-Restigouche,Que.,154,161,-4.3,143.37,1.1
Saint-François-d'Assise,Que.,679,644,5.4,179.34,3.8
La Guadeloupe,Que.,"1,805","1,707",5.7,32.84,55
Lac-Poulin,Que.,171,147,16.3,0.88,195.3
Notre-Dame-des-Pins,Que.,"1,812","1,594",13.7,24.09,75.2
Saint-Benoît-Labre,Que.,"1,617","1,630",-0.8,85.65,18.9
Saint-Côme--Linière,Que.,"3,278","3,239",1.2,150.45,21.8
Saint-Georges,Que.,"32,935","32,513",1.3,199.08,165.4
Saint-Gédéon-de-Beauce,Que.,"2,093","2,205",-5.1,197.37,10.6
Saint-Hilaire-de-Dorset,Que.,96,95,1.1,186.77,0.5
Saint-Honoré-de-Shenley 2,Que.,"1,555","1,517",2.5,133.96,11.6
Saint-Martin,Que.,"2,588","2,477",4.5,118,21.9
Saint-Philibert,Que.,379,369,2.7,57.16,6.6
Saint-René,Que.,946,745,27,61.54,15.4
Saint-Simon-les-Mines,Que.,573,549,4.4,47.43,12.1
Saint-Théophile,Que.,702,713,-1.5,427.78,1.6
Saint-Éphrem-de-Beauce,Que.,"2,323","2,400",-3.2,118.9,19.5
