Geography,Province or Territory Abbreviation,Population (2021),Population (2016),Population Percentage Change (2016->2021),Land area (2021) (km^2),Population density per km^2 (2021)
Lacombe County 3,Alta.,"10,283","10,343",-0.6,"2,759.12",3.7
Montana 139,Alta.,598,630,-5.1,27.83,21.5
Norglenwold,Alta.,306,273,12.1,0.62,490.8
Parkland Beach,Alta.,168,153,9.8,0.94,179.4
Penhold 3,Alta.,"3,484","3,287",6,11.2,311
Ponoka,Alta.,"7,331","7,229",1.4,17.22,425.8
Ponoka County,Alta.,"9,998","9,806",2,"2,807.99",3.6
Red Deer,Alta.,"100,844","100,418",0.4,104.34,966.5
Red Deer County 3,Alta.,"19,933","19,531",2.1,"3,919.25",5.1
Rimbey,Alta.,"2,470","2,567",-3.8,11.38,217.1
Samson 137,Alta.,"3,252","3,373",-3.6,128.49,25.3
Samson 137A,Alta.,19,26,-26.9,1.34,14.2
Sunbreaker Cove,Alta.,131,81,61.7,0.47,280.8
Sylvan Lake,Alta.,"15,995","14,816",8,23.09,692.8
Big Horn 144A 5,Alta.,0,237,0,22.6,0
Burnstick Lake 2,Alta.,21,15,40,0.18,116.4
Caroline,Alta.,470,512,-8.2,2.04,229.9
Clearwater County,Alta.,"11,865","11,947",-0.7,"18,605.71",0.6
O'Chiese 203,Alta.,804,789,1.9,138.83,5.8
Rocky Mountain House,Alta.,"6,765","6,635",2,13.05,518.3
Sunchild 202,Alta.,644,749,-14,52.5,12.3
Andrew,Alta.,366,425,-13.9,1.18,310.1
Bashaw,Alta.,848,830,2.2,2.72,311.9
Bawlf,Alta.,412,422,-2.4,0.89,462.9
Beaver County,Alta.,"5,868","5,905",-0.6,"3,219.74",1.8
Bittern Lake,Alta.,216,220,-1.8,6.57,32.9
Bruderheim 3,Alta.,"1,329","1,323",0.5,9.28,143.2
Camrose,Alta.,"18,772","18,742",0.2,41.67,450.5
Camrose County 3,Alta.,"8,504","8,660",-1.8,"3,291.75",2.6
Chipman,Alta.,246,274,-10.2,9.6,25.6
Edberg,Alta.,126,151,-16.6,0.35,356.1
Hay Lakes,Alta.,456,495,-7.9,0.59,771.6
Holden,Alta.,338,350,-3.4,1.55,217.7
Improvement District No. 13 Elk Island,Alta.,0,0,0,165,0
Innisfree,Alta.,187,193,-3.1,1,187.2
Kitscoty,Alta.,852,925,-7.9,1.51,564.3
Lamont,Alta.,"1,744","1,774",-1.7,9.14,190.9
Lamont County 3,Alta.,"3,754","3,884",-3.3,"2,385.58",1.6
Lloydminster (Part),Alta.,"19,739","19,645",0.5,23.98,823.1
Makaoo (Part) 120,Alta.,141,208,-32.2,35.93,3.9
Mannville,Alta.,765,828,-7.6,1.64,466.3
Marwayne,Alta.,543,564,-3.7,1.6,339.3
Minburn County No. 27,Alta.,"3,014","3,188",-5.5,"2,850.37",1.1
Mundare,Alta.,689,852,-19.1,4.12,167.3
Myrnam,Alta.,257,339,-24.2,2.75,93.6
Paradise Valley,Alta.,153,179,-14.5,0.63,243.6
Rosalind,Alta.,162,188,-13.8,0.62,261.1
Ryley,Alta.,484,483,0.2,2.53,191.6
Tofield,Alta.,"2,045","2,081",-1.7,8.21,249.2
Two Hills,Alta.,"1,416","1,352",4.7,3.11,454.7
Two Hills County No. 21 3,Alta.,"3,412","3,641",-6.3,"2,600.15",1.3
Vegreville,Alta.,"5,689","5,708",-0.3,14.08,404
Vermilion,Alta.,"3,948","4,084",-3.3,12.72,310.4
Vermilion River County 3,Alta.,"7,994","8,453",-5.4,"5,420.13",1.5
Viking,Alta.,986,"1,083",-9,3.45,285.9
Alexander 134,Alta.,"1,077","1,099",-2,68.39,15.7
Argentia Beach,Alta.,39,27,44.4,0.62,63.3
Beaumont 3,Alta.,"20,888","17,457",19.7,24.7,845.6
Betula Beach,Alta.,27,16,68.8,0.23,118.5
Bon Accord 3,Alta.,"1,461","1,529",-4.4,3.99,366.4
Brazeau County,Alta.,"7,179","7,771",-7.6,"3,000.14",2.4
Breton,Alta.,567,574,-1.2,1.72,329.9
Calmar,Alta.,"2,183","2,228",-2,4.67,467.6
Crystal Springs,Alta.,74,51,45.1,0.45,163.4
Devon,Alta.,"6,545","6,578",-0.5,14.26,459.1
Drayton Valley,Alta.,"7,291","7,235",0.8,30.9,236
Edmonton 3,Alta.,"1,010,899","933,088",8.3,765.61,"1,320.40"
Enoch Cree Nation,Alta.,"1,825","1,690",8,51.53,35.4
Ermineskin 138,Alta.,"2,256","2,457",-8.2,104.32,21.6
Fort Saskatchewan 3,Alta.,"27,088","24,169",12.1,56.5,479.4
Gibbons 3,Alta.,"3,218","3,159",1.9,9.46,340.1
Golden Days,Alta.,248,160,55,2.13,116.7
Grandview 3,Alta.,143,109,31.2,0.45,316.7
Itaska Beach,Alta.,30,23,30.4,0.26,113.4
Kapasiwin,Alta.,24,10,140,0.33,73.7
Lakeview,Alta.,29,30,-3.3,0.32,90.8
Leduc,Alta.,"34,094","29,993",13.7,42.25,806.9
Leduc County 3,Alta.,"14,416","13,177",9.4,"2,502.59",5.8
Legal,Alta.,"1,232","1,345",-8.4,3.18,387.9
Louis Bull 138B,Alta.,"1,321","1,177",12.2,31.68,41.7
Ma-Me-O Beach,Alta.,162,110,47.3,0.56,288.5
Millet 3,Alta.,"1,890","1,955",-3.3,6.62,285.3
Morinville,Alta.,"10,385","9,848",5.5,11.15,931
Norris Beach,Alta.,71,38,86.8,0.19,369.8
Parkland County 3,Alta.,"32,205","32,737",-1.6,"2,375.67",13.6
Pigeon Lake 138A,Alta.,285,429,-33.6,19.81,14.4
Point Alison,Alta.,18,10,80,0.19,93.7
Poplar Bay,Alta.,113,103,9.7,0.71,158.2
Redwater,Alta.,"2,115","2,053",3,19.93,106.1
Seba Beach,Alta.,229,169,35.5,0.53,428.4
Silver Beach,Alta.,55,65,-15.4,0.61,90.5
Spring Lake,Alta.,711,699,1.7,2.28,312.3
Spruce Grove 3,Alta.,"37,645","34,108",10.4,37.52,"1,003.30"
St. Albert,Alta.,"68,232","65,589",4,47.84,"1,426.40"
Stony Plain,Alta.,"17,993","17,189",4.7,35.45,507.6
Strathcona County 3,Alta.,"99,225","98,024",1.2,"1,170.65",84.8
Sturgeon County 3,Alta.,"20,061","20,495",-2.1,"2,084.24",9.6
Sundance Beach,Alta.,42,73,-42.5,0.43,98.3
Thorsby,Alta.,967,985,-1.8,3.8,254.6
Wabamun 133A,Alta.,981,"1,592",-38.4,62.33,15.7
Wabamun 133B,Alta.,20,30,-33.3,1.96,10.2
Warburg,Alta.,676,766,-11.7,2.56,264.5
Wetaskiwin,Alta.,"12,594","12,655",-0.5,18.75,671.6
Wetaskiwin County No. 10 3,Alta.,"11,212","11,176",0.3,"3,121.98",3.6
Beaver Lake 131,Alta.,401,414,-3.1,55.88,7.2
Bonnyville 2,Alta.,"6,404","5,975",7.2,14.17,452.1
Bonnyville Beach,Alta.,70,84,-16.7,0.23,298.1
Bonnyville No. 87 2,Alta.,"12,897","12,745",1.2,"6,005.30",2.1
Cold Lake 3,Alta.,"15,661","14,976",4.6,66.61,235.1
Cold Lake 149,Alta.,671,671,0,139.83,4.8
Cold Lake 149A,Alta.,68,40,70,0.66,103.1
Cold Lake 149B,Alta.,181,163,11,41.57,4.4
Elk Point,Alta.,"1,399","1,452",-3.7,4.91,284.7
Glendon,Alta.,338,493,-31.4,1.99,169.5
Heart Lake 167,Alta.,211,184,14.7,47.41,4.5
Horseshoe Bay,Alta.,81,49,65.3,0.98,83.1
Improvement District No. 349,Alta.,15,0,0,"5,626.57",0
Kehewin 123,Alta.,"1,038",976,6.4,79.64,13
Lac la Biche County,Alta.,"7,673","8,330",-7.9,"12,528.25",0.6
Pelican Narrows,Alta.,158,151,4.6,0.74,215
Puskiakiwenin 122,Alta.,564,531,6.2,100.03,5.6
Saddle Lake 125 5,Alta.,0,0,0,270.29,0
Smoky Lake,Alta.,"1,127",964,16.9,4.26,264.4
Smoky Lake County,Alta.,"3,874","4,107",-5.7,"3,396.29",1.1
St. Paul,Alta.,"5,863","5,827",0.6,8.64,678.7
St. Paul County No. 19,Alta.,"6,306","6,036",4.5,"3,280.40",1.9
Unipouheos 121,Alta.,875,909,-3.7,88.55,9.9
Vilna,Alta.,268,290,-7.6,0.96,278
Waskatenau,Alta.,247,186,32.8,0.59,421.1
White Fish Lake 128,Alta.,"1,093","1,310",-16.6,52.11,21
Alberta Beach,Alta.,864,"1,018",-15.1,2.02,427.7
Alexander 134B 3,Alta.,5,5,0,0.08,62.2
Alexis 133,Alta.,770,755,2,56.6,13.6
Alexis Whitecourt 232 3,Alta.,0,0,0,36.58,0
Athabasca,Alta.,"2,759","2,965",-6.9,17.79,155.1
Athabasca County,Alta.,"6,959","7,869",-11.6,"6,111.30",1.1
Barrhead,Alta.,"4,320","4,579",-5.7,8.2,527.1
Barrhead County No. 11,Alta.,"5,877","6,288",-6.5,"2,385.28",2.5
Birch Cove,Alta.,67,45,48.9,0.29,232.2
Bondiss,Alta.,124,110,12.7,1.18,105.5
Boyle,Alta.,825,845,-2.4,7.12,115.9
Castle Island,Alta.,15,10,50,0.05,278.8
Clyde,Alta.,415,430,-3.5,1.28,324.9
Island Lake,Alta.,174,228,-23.7,1.55,112.4
Island Lake South,Alta.,81,61,32.8,0.48,170
Lac Ste. Anne County,Alta.,"10,832","10,899",-0.6,"2,845.84",3.8
Larkspur,Alta.,53,44,20.5,0.26,206.4
Mayerthorpe,Alta.,"1,259","1,320",-4.6,4.39,286.6
Mewatha Beach,Alta.,103,90,14.4,0.79,129.8
Nakamun Park,Alta.,78,96,-18.8,0.43,181.6
Onoway,Alta.,966,"1,029",-6.1,3.31,292.1
Ross Haven,Alta.,126,160,-21.3,0.7,179.9
Sandy Beach,Alta.,278,278,0,2.41,115.4
Silver Sands,Alta.,214,160,33.8,2.51,85.2
South Baptiste,Alta.,70,66,6.1,0.91,77
South View,Alta.,72,67,7.5,0.44,162.4
Sunrise Beach,Alta.,153,135,13.3,1.66,92
Sunset Beach,Alta.,55,49,12.2,0.87,63.5
Sunset Point,Alta.,257,169,52.1,1.17,220
Thorhild County,Alta.,"3,042","3,254",-6.5,"1,997.17",1.5
Val Quentin,Alta.,158,252,-37.3,0.29,554.2
West Baptiste,Alta.,46,38,21.1,0.54,85.1
West Cove,Alta.,222,149,49,1.3,171.2
Westlock,Alta.,"4,921","5,101",-3.5,13.37,368
Westlock County,Alta.,"7,186","7,220",-0.5,"3,169.66",2.3
Whispering Hills,Alta.,128,142,-9.9,1.64,78.2
Whitecourt 3,Alta.,"9,927","10,209",-2.8,29.51,336.4
Woodlands County 3,Alta.,"4,558","4,744",-3.9,"7,599.52",0.6
Yellowstone,Alta.,117,137,-14.6,0.28,424.1
Edson,Alta.,"8,374","8,414",-0.5,29.43,284.5
Hinton,Alta.,"9,817","9,882",-0.7,33.32,294.6
Improvement District No. 25 Willmore Wilderness,Alta.,0,0,0,"4,601.52",0
Yellowhead County,Alta.,"10,426","10,995",-5.2,"22,238.56",0.5
Banff 4,Alta.,"8,305","7,851",5.8,4.08,"2,033.80"
Bighorn No. 8 4,Alta.,"1,598","1,324",20.7,"2,678.80",0.6
Canmore,Alta.,"15,990","13,992",14.3,68.47,233.5
Crowsnest Pass,Alta.,"5,695","5,589",1.9,370.15,15.4
Ghost Lake,Alta.,82,82,0,0.62,132.6
Improvement District No. 12 Jasper Park,Alta.,0,53,-100,"10,118.55",0
Improvement District No. 9 Banff,Alta.,"1,004","1,028",-2.3,"6,751.09",0.1
Jasper,Alta.,"4,738","4,590",3.2,921.9,5.1
Kananaskis,Alta.,156,221,-29.4,"4,203.24",0
Ranchland No. 66,Alta.,110,92,19.6,"2,636.75",0
"Stoney 142, 143, 144 5",Alta.,0,"3,713",0,444.66,0
Stoney 142B 3 5,Alta.,0,10,0,71.43,0
Waiparous,Alta.,57,49,16.3,0.41,140.6
Allison Bay 219 4,Alta.,113,127,-11,17.09,6.6
Dog Head 218,Alta.,85,99,-14.1,0.38,222
Fort Mckay 174 3,Alta.,621,747,-16.9,30.01,20.7
Gregoire Lake 176,Alta.,203,191,6.3,22.67,9
Gregoire Lake 176A,Alta.,129,130,-0.8,0.81,159.4
Improvement District No. 24 Wood Buffalo,Alta.,706,648,9,"33,053.78",0
Janvier 194 3,Alta.,360,409,-12,26.05,13.8
Old Fort 217,Alta.,0,0,0,13.87,0
Thabacha Náre 196A 5,Alta.,0,28,0,2.46,0
Thebathi 196 3 5,Alta.,0,15,0,61.33,0
Wood Buffalo 4,Alta.,"72,326","71,594",1,"60,843.88",1.2
Beaver Ranch 163,Alta.,15,10,50,9.18,1.6
Big Lakes County 3,Alta.,"4,986","5,625",-11.4,"13,827.58",0.4
Boyer 164,Alta.,123,218,-43.6,40.89,3
Bushe River 207,Alta.,492,503,-2.2,114.45,4.3
Carcajou 187,Alta.,0,0,0,0.53,0
Child Lake 164A,Alta.,172,216,-20.4,26.95,6.4
Clear Hills 3,Alta.,"3,006","3,018",-0.4,"15,025.54",0.2
Clear Hills 152C 3,Alta.,0,5,-100,16.53,0
Desmarais 3,Alta.,116,110,5.5,1.54,75.5
Drift Pile River 150,Alta.,775,828,-6.4,64.95,11.9
Fort Vermilion 173B,Alta.,73,96,-24,0.62,117.3
Fox Lake 162,Alta.,"2,488","2,032",22.4,98.03,25.4
Hay Lake 209,Alta.,957,883,8.4,99.29,9.6
High Level,Alta.,"3,922","3,159",24.2,28.7,136.7
High Prairie,Alta.,"2,380","2,564",-7.2,7.01,339.5
Hines Creek,Alta.,335,346,-3.2,4.88,68.7
Jean Baptiste Gambler 183 3,Alta.,210,253,-17,1.99,105.4
John D'Or Prairie 215 4,Alta.,702,"1,196",-41.3,140.04,5
Kapawe'no First Nation 150B,Alta.,42,154,-72.7,0.29,145.1
Kapawe'no First Nation 150D,Alta.,5,5,0,3.9,1.3
Kapawe'no First Nation 229 3,Alta.,97,5,"1,840.00",1.23,78.7
Kapawe'no First Nation 231 3,Alta.,5,42,-88.1,0.5,9.9
Lesser Slave River No. 124,Alta.,"2,861","2,803",2.1,"10,041.79",0.3
Little Buffalo,Alta.,441,452,-2.4,12.86,34.3
Loon Lake 235 3,Alta.,487,540,-9.8,70.94,6.9
Mackenzie County 4,Alta.,"12,804","11,171",14.6,"79,629.26",0.2
Manning,Alta.,"1,126","1,183",-4.8,3.71,303.1
Nampa,Alta.,367,364,0.8,1.69,217.5
Northern Lights County,Alta.,"4,152","4,200",-1.1,"20,627.02",0.2
Northern Sunrise County 3,Alta.,"1,711","1,921",-10.9,"20,915.18",0.1
Opportunity No. 17 3,Alta.,"3,382","3,253",4,"28,857.88",0.1
Peerless Trout 238 3,Alta.,0,0,0,37.36,0
Rainbow Lake,Alta.,495,795,-37.7,10.76,46
Sawridge 150G,Alta.,41,20,105,9.4,4.4
Sawridge 150H,Alta.,10,10,0,11.99,0.8
Slave Lake,Alta.,"6,836","6,651",2.8,14.31,477.7
Sucker Creek 150A,Alta.,703,689,2,60.7,11.6
Swan Hills,Alta.,"1,201","1,301",-7.7,25.87,46.4
Swan River 150E,Alta.,400,413,-3.1,39.47,10.1
Tall Cree 173,Alta.,282,250,12.8,37.09,7.6
Tall Cree 173A,Alta.,201,224,-10.3,53.66,3.7
Upper Hay River 212,Alta.,381,294,29.6,14.49,26.3
Utikoomak Lake 155,Alta.,734,723,1.5,64.67,11.4
Utikoomak Lake 155A,Alta.,145,127,14.2,10.28,14.1
Wabasca 166,Alta.,158,160,-1.3,84.64,1.9
Wabasca 166A 3,Alta.,559,596,-6.2,6.64,84.1
Wabasca 166B,Alta.,89,190,-53.2,24.95,3.6
Wabasca 166C,Alta.,179,188,-4.8,32.65,5.5
Wabasca 166D,Alta.,640,961,-33.4,58.15,11
Woodland Cree 226 3,Alta.,655,678,-3.4,118.7,5.5
Woodland Cree 227 3,Alta.,30,15,100,6.55,4.6
Woodland Cree 228,Alta.,161,150,7.3,36.52,4.4
Fox Creek,Alta.,"1,639","1,971",-16.8,12.26,133.6
Greenview No. 16 3,Alta.,"8,584","9,154",-6.2,"32,925.53",0.3
Sturgeon Lake 154,Alta.,"1,291","1,447",-10.8,148.72,8.7
Sturgeon Lake 154A,Alta.,39,53,-26.4,8.77,4.4
Valleyview,Alta.,"1,673","1,863",-10.2,9.17,182.4
Beaverlodge 4,Alta.,"2,271","2,465",-7.9,5.38,421.9
Berwyn,Alta.,577,538,7.2,1.57,366.6
Birch Hills County,Alta.,"1,516","1,553",-2.4,"2,848.75",0.5
Donnelly 3,Alta.,338,359,-5.8,1.26,269
Duncan's 151A 3,Alta.,111,145,-23.4,20.12,5.5
Fairview,Alta.,"2,817","2,998",-6,10.67,263.9
Fairview No. 136,Alta.,"1,580","1,604",-1.5,"1,373.66",1.2
Falher,Alta.,"1,001","1,047",-4.4,2.83,354.1
Girouxville,Alta.,278,219,26.9,0.66,422.4
Grande Prairie 4,Alta.,"64,141","63,166",1.5,132.71,483.3
Grande Prairie County No. 1 6,Alta.,"23,769","22,502",5.6,"5,790.59",4.1
Grimshaw,Alta.,"2,601","2,718",-4.3,7.08,367.2
Horse Lakes 152B,Alta.,489,469,4.3,14.47,33.8
Hythe,Alta.,854,827,3.3,4.03,211.9
McLennan,Alta.,695,701,-0.9,3.58,194.3
Peace No. 135 3,Alta.,"1,581","1,752",-9.8,847.22,1.9
Peace River,Alta.,"6,619","6,842",-3.3,25.34,261.2
Rycroft,Alta.,550,612,-10.1,1.85,297.1
Saddle Hills County,Alta.,"2,338","2,225",5.1,"5,827.70",0.4
Sexsmith,Alta.,"2,427","2,620",-7.4,13.01,186.5
Smoky River No. 130 3,Alta.,"1,684","2,006",-16.1,"2,834.18",0.6
Spirit River,Alta.,849,995,-14.7,3.11,272.8
Spirit River No. 133,Alta.,649,700,-7.3,679.86,1
Wembley 4,Alta.,"1,432","1,516",-5.5,4.74,302.1
Ahahswinis 1,B.C.,150,119,26.1,0.41,368
Alberni 2,B.C.,0,10,-100,0.55,0
Alberni-Clayoquot A,B.C.,256,243,5.3,"1,619.77",0.2
Alberni-Clayoquot B,B.C.,531,443,19.9,92.22,5.8
Alberni-Clayoquot C,B.C.,875,677,29.2,"3,199.27",0.3
Alberni-Clayoquot D,B.C.,"1,843","1,616",14,"1,398.89",1.3
Alberni-Clayoquot E,B.C.,"2,946","2,754",7,21.91,134.4
Alberni-Clayoquot F,B.C.,"1,977","1,935",2.2,186.53,10.6
Anacla 12,B.C.,104,82,26.8,0.93,112.1
Clakamucus 2,B.C.,0,0,0,0.1,0
Elhlateese 2,B.C.,10,5,100,2.3,4.4
Esowista 3,B.C.,90,94,-4.3,0.1,936.5
Hesquiat 1 5,B.C.,0,5,0,1.55,0
Ittatsoo 1,B.C.,321,274,17.2,0.68,474.8
Klehkoot 2,B.C.,15,15,0,1.17,12.8
Macoah 1,B.C.,27,19,42.1,0.43,62.5
Marktosis 15,B.C.,760,622,22.2,1.8,423
Numukamis 1,B.C.,0,5,-100,6.69,0
Opitsat 1,B.C.,153,150,2,0.72,212.4
Port Alberni,B.C.,"18,259","17,678",3.3,19.66,928.9
Refuge Cove 6 5,B.C.,0,44,0,0.17,0
Sachsa 4,B.C.,0,0,0,0.07,0
Tin Wis 11,B.C.,26,0,0,0.14,188
Tofino 2,B.C.,"2,516","1,967",27.9,10.56,238.3
Tsahaheh 1,B.C.,596,542,10,4.01,148.6
Ucluelet,B.C.,"2,066","1,717",20.3,6.48,318.8
Babine 16 3,B.C.,0,5,-100,2.8,0
Babine 25,B.C.,83,112,-25.9,0.48,171.3
Babine 6 3,B.C.,75,81,-7.4,1.82,41.2
Babine Lake 21B,B.C.,0,0,0,0.02,0
Binche 2,B.C.,118,182,-35.2,4.63,25.5
Bulkley-Nechako A,B.C.,"5,587","5,256",6.3,"3,674.43",1.5
Bulkley-Nechako B 3,B.C.,"1,706","1,885",-9.5,"3,624.72",0.5
Bulkley-Nechako C 3,B.C.,"1,266","1,420",-10.8,"25,527.99",0
Bulkley-Nechako D,B.C.,"1,607","1,472",9.2,"4,389.75",0.4
Bulkley-Nechako E,B.C.,"1,512","1,593",-5.1,"15,856.11",0.1
Bulkley-Nechako F,B.C.,"3,517","3,665",-4,"5,386.26",0.7
Bulkley-Nechako G,B.C.,836,903,-7.4,"14,417.38",0.1
Burns Lake,B.C.,"1,659","1,779",-6.7,6.54,253.7
Burns Lake 18,B.C.,33,48,-31.3,0.56,59.4
Cheslatta 1,B.C.,49,84,-41.7,10.81,4.5
Duncan Lake 2,B.C.,5,5,0,0.67,7.5
Dzitline Lee 9,B.C.,15,10,50,5.44,2.8
Fort St. James,B.C.,"1,386","1,598",-13.3,23.45,59.1
Francois Lake 7 5,B.C.,0,10,0,1.38,0
Fraser Lake,B.C.,965,988,-2.3,4.06,237.4
Granisle,B.C.,337,303,11.2,39.85,8.5
Houston,B.C.,"3,052","2,993",2,72.88,41.9
Jean Baptiste 28,B.C.,5,0,0,1.42,3.5
Laketown 3,B.C.,16,18,-11.1,2.44,6.6
Mission Lands 17,B.C.,0,0,0,0.48,0
Nak'azdli,B.C.,528,548,-3.6,3.09,170.9
Nautley (Fort Fraser) 1,B.C.,227,192,18.2,5.07,44.8
Nedoats 11,B.C.,0,0,0,4,0
Noonla 6 3,B.C.,0,5,-100,0.75,0
North Tacla Lake 3,B.C.,243,187,29.9,0.98,248
Omineca 1 5,B.C.,0,5,0,0.57,0
Palling 1 3,B.C.,92,63,46,0.73,125.3
Poison Creek 17A,B.C.,10,5,100,0.22,45.6
Seaspunkut 4,B.C.,10,15,-33.3,2.39,4.2
Skins Lake 16A,B.C.,10,5,100,0.67,14.9
Skins Lake 16B,B.C.,0,23,-100,0.63,0
Smithers,B.C.,"5,378","5,401",-0.4,15.26,352.4
Sowchea 3,B.C.,5,0,0,1,5
Stellaquo (Stella) 1,B.C.,189,202,-6.4,8.31,22.7
Stony Creek 1,B.C.,323,313,3.2,26.37,12.2
Tache 1,B.C.,400,401,-0.2,8.98,44.5
Tacla Lake (Ferry Landing) 9,B.C.,15,0,0,0.72,20.7
Tadinlay 15,B.C.,0,0,0,1.82,0
Tatla West 11,B.C.,0,0,0,0.45,0
Tatla't East 2,B.C.,0,5,-100,0.7,0
Telkwa,B.C.,"1,474","1,327",11.1,7.04,209.5
Uncha Lake 13A 5,B.C.,0,10,0,0.38,0
Vanderhoof 3,B.C.,"4,346","4,434",-2,53.93,80.6
Williams Prairie Meadow 1A,B.C.,20,15,33.3,0.68,29.5
Woyenne 27,B.C.,548,243,125.5,0.15,"3,753.40"
Ye Koo Che 3,B.C.,90,87,3.4,1.99,45.1
Becher Bay 1,B.C.,221,129,71.3,2.64,83.9
Central Saanich,B.C.,"17,385","16,814",3.4,41.2,421.9
Cole Bay 3,B.C.,266,332,-19.9,2.82,94.4
Colwood,B.C.,"18,961","16,859",12.5,17.66,"1,073.60"
East Saanich 2,B.C.,"1,790","1,689",6,2.6,687.5
Esquimalt,B.C.,"17,533","17,655",-0.7,7.08,"2,476.70"
Esquimalt,B.C.,120,0,0,0.22,554.3
Galiano Island 9,B.C.,0,0,0,0.24,0
Gordon River 2,B.C.,79,111,-28.8,0.95,83.1
Highlands,B.C.,"2,482","2,225",11.6,38.01,65.3
Juan de Fuca (Part 1) 3,B.C.,"5,132","4,670",9.9,221.48,23.2
Juan de Fuca (Part 2) 3,B.C.,399,190,110,"1,267.72",0.3
Langford,B.C.,"46,584","35,342",31.8,41.43,"1,124.40"
Metchosin,B.C.,"5,067","4,708",7.6,69.57,72.8
New Songhees 1A,B.C.,"1,839","1,842",-0.2,0.71,"2,590.10"
North Saanich,B.C.,"12,235","11,249",8.8,37.16,329.2
Oak Bay,B.C.,"17,990","18,094",-0.6,10.52,"1,710.10"
Saanich,B.C.,"117,735","114,148",3.1,103.59,"1,136.60"
Saltspring Island,B.C.,"11,635","10,557",10.2,182.94,63.6
Sidney,B.C.,"12,318","11,672",5.5,5.11,"2,412.80"
Sooke,B.C.,"15,086","13,001",16,56.6,266.6
South Saanich 1,B.C.,712,822,-13.4,2.09,340.9
Southern Gulf Islands,B.C.,"6,101","4,732",28.9,191.08,31.9
T'Sou-ke,B.C.,230,225,2.2,0.75,307.8
Union Bay 4,B.C.,109,94,16,0.29,376.6
Victoria,B.C.,"91,867","85,792",7.1,19.45,"4,722.30"
View Royal,B.C.,"11,575","10,408",11.2,14.33,807.6
Agats Meadow 8,B.C.,0,0,0,1.2,0
Alexandria 3 5,B.C.,0,40,0,9.31,0
Alexis Creek 14,B.C.,5,0,0,1.64,3
Alexis Creek 16,B.C.,0,0,0,0.38,0
Alexis Creek 21,B.C.,0,0,0,3.61,0
Alexis Creek 34,B.C.,0,0,0,1.32,0
Alkali Lake 1,B.C.,358,328,9.1,2.59,138.3
Alkali Lake 4A,B.C.,5,10,-50,1.29,3.9
Anahim's Flat 1,B.C.,437,342,27.8,38.59,11.3
Anahim's Meadow,B.C.,10,10,0,4.19,2.4
Baezaeko River 27,B.C.,0,0,0,0.22,0
Baptiste Meadow 2,B.C.,0,5,-100,2.06,0
Betty Creek 18,B.C.,0,0,0,1.29,0
Canim Lake 1 5,B.C.,0,228,0,17.3,0
Canim Lake 2 5,B.C.,0,5,0,0.56,0
Canim Lake 4,B.C.,0,0,0,0.13,0
Canoe Creek 3,B.C.,0,0,0,28.03,0
Cariboo A 3,B.C.,"6,169","6,234",-1,778.12,7.9
Cariboo B,B.C.,"3,864","3,842",0.6,"1,413.47",2.7
Cariboo C,B.C.,"1,239","1,225",1.1,"7,377.49",0.2
Cariboo D,B.C.,"2,870","2,929",-2,849.54,3.4
Cariboo E,B.C.,"4,112","4,064",1.2,"1,745.18",2.4
Cariboo F,B.C.,"4,792","4,554",5.2,"9,740.20",0.5
Cariboo G 3,B.C.,"5,312","5,156",3,"2,646.03",2
Cariboo H,B.C.,"1,884","1,784",5.6,"2,593.68",0.7
Cariboo I 3,B.C.,"1,485","1,435",3.5,"11,915.99",0.1
Cariboo J,B.C.,616,642,-4,"25,880.08",0
Cariboo K,B.C.,447,398,12.3,"13,629.59",0
Cariboo L,B.C.,"4,769","4,204",13.4,"1,263.69",3.8
Charley Boy's Meadow 3,B.C.,0,0,0,4.68,0
Chilco Lake 1 5,B.C.,0,5,0,1,0
Chilco Lake 1A 5,B.C.,0,25,0,6.79,0
Coglistiko River 29,B.C.,0,0,0,0.62,0
Deep Creek 2,B.C.,111,91,22,15.67,7.1
Dog Creek 1,B.C.,88,79,11.4,1.36,64.6
Dog Creek 2,B.C.,17,20,-15,2.19,7.7
Dragon Lake 3 3,B.C.,15,26,-42.3,0.16,94
Euchinico Creek 17,B.C.,5,0,0,3.87,1.3
Fishtrap 19,B.C.,10,15,-33.3,0.28,36.1
Garden 5,B.C.,0,5,0,2.04,0
Johny Sticks 2,B.C.,10,10,0,3.07,3.3
Kluskus 1,B.C.,38,36,5.6,4.4,8.6
Lezbye 6 5,B.C.,0,20,0,0.89,0
Little Springs,B.C.,20,15,33.3,4.71,4.2
Lohbiee 3 5,B.C.,0,91,0,2.28,0
Michel Gardens 36,B.C.,5,5,0,0.04,120.8
Nazco 20,B.C.,81,90,-10,4.66,17.4
One Hundred Mile House 2,B.C.,"1,928","1,918",0.5,53.01,36.4
Puntzi Lake 2,B.C.,5,0,0,0.23,21.6
Quesnel,B.C.,"9,889","9,879",0.1,35.35,279.8
Quesnel 1 3,B.C.,110,107,2.8,5.45,20.2
Redstone Flat 1,B.C.,181,196,-7.7,3.45,52.5
Salmon River Meadow 7,B.C.,0,0,0,0.93,0
Sandy Harry 4,B.C.,0,5,-100,1.68,0
Soda Creek 1,B.C.,30,59,-49.2,4.03,7.4
Squinas 2,B.C.,137,134,2.2,4.16,33
Stone 1,B.C.,219,187,17.1,15.48,14.2
Sundayman's Meadow 3,B.C.,0,0,0,0.49,0
