Geography,Car_Truck_Van_Less_Than_15,Car_Truck_Van_15_to_29,Car_Truck_Van_30_to_44,Car_Truck_Van_45_to_59,Car_Truck_Van_More_Than_60,Car_Truck_Van_Avg_Duration,Public_Transit_Less_Than_15,Public_Transit_15_to_29,Public_Transit_30_to_44,Public_Transit_45_to_59,Public_Transit_More_Than_60,Public_Transit_Avg_Duration,Active_Transportation_Less_Than_15,Active_Transportation_15_to_29,Active_Transportation_30_to_44,Active_Transportation_45_to_59,Active_Transportation_More_Than_60,Active_Transportation_Avg_Duration,Motorcycle_Scooter_Moped_Less_Than_15,Motorcycle_Scooter_Moped_15_to_29,Motorcycle_Scooter_Moped_30_to_44,Motorcycle_Scooter_Moped_45_to_59,Motorcycle_Scooter_Moped_More_Than_60,Motorcycle_Scooter_Moped_Avg_Duration,Other_Less_Than_15,Other_15_to_29,Other_30_to_44,Other_45_to_59,Other_More_Than_60,Other_Avg_Duration,Province or Territory Abbreviation,Population (2021),Population (2016),Population Percentage Change (2016->2021),Land area (2021) (km^2),Population density per km^2 (2021)
Malahat 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,165,143,15.4,2.45,67.3
Malahide,475.0,330.0,135.0,55.0,55.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,10.0,0.0,0.0,11.6,Ont.,9308,9292,0.2,394.27,23.6
Malartic,760.0,605.0,495.0,110.0,180.0,24.1,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,104.0,Que.,3355,3377,-0.7,147.45,22.8
Maliotenam,65.0,20.0,0.0,10.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Que.,1610,1542,4.4,5.2,309.7
Mandeville,125.0,40.0,10.0,15.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Que.,2363,2189,7.9,318.21,7.4
Manitou Beach,45.0,0.0,10.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,Sask.,364,314,15.9,2.28,159.9
Manitou Lake No. 442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,505,573,-11.9,839.29,0.6
Manitou Rapids 11,25.0,15.0,20.0,20.0,10.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ont.,300,283,6.0,22.73,13.2
"Manitoulin, Unorganized, West Part",0.0,0.0,0.0,15.0,40.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,45.0,Ont.,219,169,29.6,402.29,0.5
Manitouwadge,285.0,10.0,15.0,30.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ont.,1974,1937,1.9,352.17,5.6
Mankota,30.0,10.0,20.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,198,205,-3.4,1.5,132.2
Mankota No. 45,30.0,10.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,289,292,-1.0,1693.17,0.2
Manners Sutton,110.0,25.0,15.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,N.B.,1920,1777,8.0,524.75,3.7
Manning,475.0,185.0,40.0,30.0,30.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,20.0,Alta.,1126,1183,-4.8,3.71,303.1
Mannville,105.0,80.0,45.0,15.0,15.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alta.,765,828,-7.6,1.64,466.3
Manor,10.0,20.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,305,295,3.4,2.58,118.3
Manseau,35.0,90.0,60.0,25.0,0.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Que.,807,816,-1.1,104.48,7.7
Mansfield-et-Pontefract,320.0,65.0,40.0,0.0,20.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Que.,2250,2285,-1.5,466.61,4.8
Maple Bush No. 224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,213,192,10.9,818.05,0.3
Maple Creek,655.0,135.0,90.0,20.0,60.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,135.0,15.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,Sask.,2176,2084,4.4,4.35,500.0
Maple Ridge,6540.0,4990.0,3000.0,1065.0,535.0,20.4,150.0,305.0,185.0,60.0,160.0,33.8,695.0,385.0,55.0,20.0,10.0,12.0,20.0,0.0,0.0,0.0,0.0,15.6,315.0,40.0,20.0,20.0,10.0,9.0,B.C.,90990,82256,10.6,267.82,339.7
Mapleton,745.0,635.0,200.0,80.0,50.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,215.0,15.0,10.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,15.0,0.0,23.0,Ont.,10839,10527,3.0,535.56,20.2
Marathon,675.0,125.0,170.0,80.0,30.0,16.5,10.0,0.0,0.0,0.0,0.0,0.0,75.0,20.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,34.0,Ont.,3138,3273,-4.1,167.03,18.8
Marble Canyon 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,97,84,15.5,2.84,34.1
Marcelin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,142,153,-7.2,1.29,110.1
Margo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,65,83,-21.7,0.71,91.2
Maria,535.0,385.0,200.0,70.0,60.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Que.,2760,2615,5.5,94.88,29.1
Maricourt,75.0,60.0,15.0,20.0,0.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Que.,456,416,9.6,61.1,7.5
Marieville,1225.0,875.0,685.0,180.0,95.0,20.4,0.0,0.0,0.0,0.0,0.0,38.0,185.0,45.0,10.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,0.0,12.2,Que.,11332,10725,5.7,63.23,179.2
Mariposa No. 350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,291,205,42.0,635.16,0.5
Markham,10870.0,27560.0,18545.0,5995.0,4320.0,27.0,180.0,530.0,1095.0,840.0,2065.0,53.2,1305.0,510.0,190.0,40.0,45.0,13.3,0.0,0.0,0.0,0.0,0.0,29.0,1125.0,190.0,230.0,95.0,105.0,15.8,Ont.,338503,328966,2.9,210.93,1604.8
Markinch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,55,58,-5.2,0.68,81.4
Markstay-Warren,25.0,50.0,35.0,20.0,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,Ont.,2708,2656,2.0,505.92,5.4
Marktosis 15,95.0,10.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,95.0,10.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,760,622,22.2,1.8,423.0
Marmora and Lake,290.0,120.0,65.0,20.0,20.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ont.,4267,3953,7.9,538.24,7.9
Marquis,25.0,0.0,10.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,90,97,-7.2,0.63,143.0
Marriott No. 317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,349,366,-4.6,832.54,0.4
Marsden,40.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,281,297,-5.4,0.79,354.2
Marsh Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y.T.,746,696,7.2,817.11,0.9
Marsoui,20.0,0.0,10.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Que.,289,275,5.1,181.4,1.6
Marston,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Que.,777,705,10.2,71.83,10.8
Marten Falls 65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ont.,243,252,-3.6,79.0,3.1
Martin No. 122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,254,289,-12.1,542.27,0.5
Martinville,10.0,35.0,20.0,10.0,0.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Que.,441,436,1.1,47.66,9.3
Marwayne,85.0,25.0,15.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alta.,543,564,-3.7,1.6,339.3
Mary's Harbour,70.0,10.0,0.0,10.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N.L.,312,341,-8.5,34.25,9.1
Maryfield,40.0,0.0,15.0,0.0,10.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,311,348,-10.6,2.57,121.2
Maryfield No. 91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,258,324,-20.4,748.67,0.3
Marystown,940.0,590.0,150.0,30.0,25.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,17.0,N.L.,5204,5316,-2.1,62.23,83.6
Mascouche,3015.0,3070.0,1345.0,345.0,125.0,19.0,30.0,65.0,25.0,40.0,65.0,37.8,365.0,140.0,25.0,0.0,0.0,10.1,35.0,15.0,0.0,0.0,0.0,9.6,60.0,30.0,75.0,20.0,0.0,23.6,Que.,51183,46692,9.6,106.89,478.8
Mashteuiatsh,430.0,120.0,50.0,30.0,40.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,Que.,2010,1957,2.7,14.43,139.3
Maskinongé,190.0,85.0,40.0,10.0,0.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Que.,2323,2319,0.2,73.31,31.7
Maskinongé,3455.0,3220.0,1525.0,315.0,200.0,18.9,30.0,15.0,20.0,15.0,50.0,48.8,510.0,70.0,15.0,10.0,0.0,6.7,35.0,15.0,0.0,0.0,0.0,8.2,115.0,0.0,0.0,0.0,0.0,17.0,Que.,2323,2319,0.2,73.31,31.7
Masset,245.0,50.0,20.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,B.C.,838,793,5.7,20.69,40.5
Masset 1,65.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,475,555,-14.4,3.16,150.4
Massey Drive,15.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N.L.,1606,1632,-1.6,2.45,655.1
Massueville,55.0,35.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Que.,547,529,3.4,1.55,353.0
Matachewan,125.0,10.0,85.0,170.0,295.0,54.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ont.,268,225,19.1,539.56,0.5
Matachewan 72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ont.,66,61,8.2,33.09,2.0
Matagami,410.0,135.0,0.0,0.0,45.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,95.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,28.0,Que.,1402,1453,-3.5,75.12,18.7
Matane,3460.0,1440.0,295.0,110.0,130.0,13.8,10.0,15.0,15.0,0.0,0.0,21.6,265.0,90.0,10.0,0.0,10.0,12.6,20.0,0.0,0.0,0.0,0.0,9.2,45.0,15.0,10.0,0.0,0.0,12.4,Que.,13987,14311,-2.3,195.49,71.5
Matapédia,45.0,60.0,40.0,0.0,0.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Que.,566,645,-12.2,71.59,7.9
Matchi-Manitou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Que.,0,0,0.0,164.77,0.0
Matsqui 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,456,471,-3.2,0.28,1654.6
Matsqui Main 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,119,110,8.2,1.36,87.6
Mattagami 71,30.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ont.,210,190,10.5,46.43,4.5
Mattawa,445.0,85.0,60.0,70.0,25.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,70.0,10.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,7.0,Ont.,1881,1993,-5.6,3.67,513.1
Mattawan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ont.,153,161,-5.0,200.12,0.8
Mattice-Val Côté,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ont.,542,648,-16.4,412.81,1.3
Maugerville,30.0,60.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,N.B.,1772,1831,-3.2,919.94,1.9
Mayerthorpe,265.0,205.0,95.0,25.0,30.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,40.0,Alta.,1259,1320,-4.6,4.39,286.6
Mayfield No. 406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,391,377,3.7,780.54,0.5
Maymont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,163,138,18.1,0.54,300.7
Mayo,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Que.,704,601,17.1,72.51,9.7
Mayo,60.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,19.5,Que.,704,601,17.1,72.51,9.7
Mayo,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y.T.,188,200,-6.0,0.98,191.4
Mayo,60.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,19.5,Y.T.,188,200,-6.0,0.98,191.4
McAdam,175.0,40.0,20.0,0.0,15.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N.B.,61,73,-16.4,534.77,0.1
McAdam,20.0,0.0,10.0,0.0,0.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N.B.,1173,1151,1.9,14.19,82.7
McAdam,20.0,0.0,10.0,0.0,0.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N.B.,61,73,-16.4,534.77,0.1
McAdam,175.0,40.0,20.0,0.0,15.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N.B.,1173,1151,1.9,14.19,82.7
McBride,220.0,40.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,10.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,5.8,B.C.,588,616,-4.5,4.62,127.4
McCartney's Flat 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,24,26,-7.7,1.81,13.2
McCraney No. 282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,280,310,-9.7,944.47,0.3
McCreary,50.0,45.0,10.0,0.0,0.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Man.,748,892,-16.1,527.77,1.4
McDougall,105.0,165.0,35.0,15.0,20.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,Ont.,2744,2702,1.6,264.02,10.4
McGarry,20.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ont.,579,609,-4.9,85.62,6.8
McIvers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N.L.,575,538,6.9,11.97,48.0
McKellar,15.0,10.0,0.0,10.0,0.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ont.,1419,1111,27.7,176.07,8.1
McKillop No. 220,0.0,15.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,897,732,22.5,663.9,1.4
