Population and dwelling counts: Canada and census subdivisions (municipalities) 1,,,,,,,
Frequency: Occasional,,,,,,,
Table: 98-10-0002-01,,,,,,,
Release date: 2022-02-09,,,,,,,
"Geography: Canada, Province or territory, Census division, Census subdivision",,,,,,,
"Universe: All persons, 2021 and 2016 censuses – 100% data",,,,,,,
Variable List: Population and dwelling counts (13),,,,,,,
,,,,,,,
,,Population and dwelling counts (13),"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Geographic name,Geographic area type abbreviation,Province or territory abbreviation,"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Buchans,T,N.L.,590,642,-8.1,4.63,127.6
"Division No.  6, Subd. A",SNO,N.L.,101,128,-21.1,"5,264.73",0
"Division No.  6, Subd. C",SNO,N.L.,354,681,-48,"4,007.24",0.1
"Division No.  6, Subd. D 2",SNO,N.L.,596,563,5.9,"4,180.74",0.1
"Division No.  6, Subd. E",SNO,N.L.,175,194,-9.8,"2,294.74",0.1
Gander,T,N.L.,"11,880","11,688",1.6,104.53,113.7
Glenwood,T,N.L.,739,778,-5,7.08,104.4
Grand Falls-Windsor,T,N.L.,"13,853","14,171",-2.2,54.84,252.6
Millertown,T,N.L.,87,81,7.4,3.08,28.3
Norris Arm,T,N.L.,708,737,-3.9,41.35,17.1
Northern Arm,T,N.L.,371,426,-12.9,24.94,14.9
Peterview,T,N.L.,723,828,-12.7,6.34,114.1
Bonavista,T,N.L.,"3,190","3,448",-7.5,31.56,101.1
Centreville-Wareham-Trinity,T,N.L.,"1,116","1,147",-2.7,37.04,30.1
Clarenville,T,N.L.,"6,704","6,291",6.6,139.91,47.9
"Division No.  7, Subd. A",SNO,N.L.,140,143,-2.1,287.64,0.5
"Division No.  7, Subd. B",SNO,N.L.,57,10,470,858.94,0.1
"Division No.  7, Subd. D",SNO,N.L.,259,230,12.6,"2,457.85",0.1
"Division No.  7, Subd. E 2",SNO,N.L.,"2,573","2,649",-2.9,"1,631.51",1.6
"Division No.  7, Subd. F",SNO,N.L.,831,846,-1.8,296.95,2.8
"Division No.  7, Subd. G",SNO,N.L.,316,343,-7.9,144.35,2.2
"Division No.  7, Subd. I",SNO,N.L.,80,71,12.7,170.8,0.5
"Division No.  7, Subd. J",SNO,N.L.,577,459,25.7,272.61,2.1
"Division No.  7, Subd. K",SNO,N.L.,"1,153","1,275",-9.6,484.96,2.4
"Division No.  7, Subd. L",SNO,N.L.,"1,183","1,232",-4,242.89,4.9
"Division No.  7, Subd. M",SNO,N.L.,"1,856","1,966",-5.6,450.25,4.1
"Division No.  7, Subd. N",SNO,N.L.,55,49,12.2,"1,402.03",0
Dover,T,N.L.,579,662,-12.5,11.12,52.1
Duntara,T,N.L.,36,30,20,17.64,2
Eastport,T,N.L.,527,501,5.2,18.48,28.5
Elliston,T,N.L.,315,308,2.3,10.07,31.3
Gambo,T,N.L.,"1,816","1,978",-8.2,93.03,19.5
Glovertown,T,N.L.,"1,948","2,083",-6.5,69.85,27.9
Greenspond,T,N.L.,257,266,-3.4,2.75,93.3
Happy Adventure,T,N.L.,118,200,-41,9.62,12.3
Hare Bay,T,N.L.,925,969,-4.5,34.11,27.1
Indian Bay,T,N.L.,172,175,-1.7,86.49,2
Keels,T,N.L.,46,51,-9.8,6.67,6.9
King's Cove,T,N.L.,75,90,-16.7,21.44,3.5
Musgravetown,T,N.L.,561,564,-0.5,13.49,41.6
New-Wes-Valley,T,N.L.,"2,044","2,172",-5.9,132.7,15.4
Port Blandford 2,T,N.L.,513,488,5.1,51,10.1
Port Rexton,T,N.L.,361,340,6.2,11.64,31
Salvage,T,N.L.,108,124,-12.9,15.85,6.8
Sandringham,T,N.L.,205,229,-10.5,9.57,21.4
Sandy Cove,T,N.L.,120,122,-1.6,8.99,13.4
St. Brendan's,T,N.L.,125,145,-13.8,9.76,12.8
Terra Nova,T,N.L.,99,73,35.6,2.44,40.7
Traytown,T,N.L.,279,267,4.5,13.3,21
Trinity (Trinity Bay),T,N.L.,76,169,-55,12.92,5.9
Trinity Bay North,T,N.L.,"1,649","1,819",-9.3,26.19,63
Baie Verte,T,N.L.,"1,311","1,313",-0.2,371.37,3.5
Baytona,T,N.L.,251,262,-4.2,15.15,16.6
Beachside,T,N.L.,97,132,-26.5,2.58,37.5
Birchy Bay,T,N.L.,511,550,-7.1,49.33,10.4
Brent's Cove,T,N.L.,119,157,-24.2,1.02,116.4
Brighton,T,N.L.,163,188,-13.3,2.26,72.2
Burlington,T,N.L.,304,314,-3.2,4.09,74.3
Campbellton,T,N.L.,459,452,1.5,35.81,12.8
Carmanville,T,N.L.,784,740,5.9,42.68,18.4
Change Islands,T,N.L.,184,208,-11.5,5.36,34.3
Coachman's Cove,T,N.L.,111,105,5.7,18.99,5.8
Comfort Cove-Newstead,T,N.L.,345,407,-15.2,29.97,11.5
Cottlesville,T,N.L.,244,271,-10,11.15,21.9
Crow Head,T,N.L.,156,177,-11.9,3.03,51.5
"Division No.  8, Subd. A",SNO,N.L.,386,317,21.8,"2,270.17",0.2
"Division No.  8, Subd. C",SNO,N.L.,563,440,28,"1,213.88",0.5
"Division No.  8, Subd. D",SNO,N.L.,5,10,-50,20.11,0.2
"Division No.  8, Subd. E",SNO,N.L.,496,548,-9.5,707.99,0.7
"Division No.  8, Subd. F",SNO,N.L.,867,930,-6.8,106.35,8.2
"Division No.  8, Subd. G",SNO,N.L.,409,433,-5.5,521.39,0.8
"Division No.  8, Subd. H",SNO,N.L.,"1,788","1,900",-5.9,178.01,10
"Division No.  8, Subd. I",SNO,N.L.,163,216,-24.5,8.97,18.2
"Division No.  8, Subd. L",SNO,N.L.,"2,772","3,060",-9.4,"1,315.12",2.1
"Division No.  8, Subd. M",SNO,N.L.,141,130,8.5,658.7,0.2
"Division No.  8, Subd. O",SNO,N.L.,275,309,-11,409.66,0.7
"Division No.  8, Subd. P",SNO,N.L.,297,337,-11.9,379.19,0.8
Embree,T,N.L.,679,701,-3.1,18.35,37
Fleur de Lys,T,N.L.,207,244,-15.2,39.54,5.2
Fogo Island,T,N.L.,"2,117","2,244",-5.7,238.25,8.9
King's Point,T,N.L.,653,659,-0.9,45.72,14.3
LaScie,T,N.L.,820,872,-6,29.16,28.1
Leading Tickles,T,N.L.,296,292,1.4,26.59,11.1
Lewisporte,T,N.L.,"3,288","3,409",-3.5,36.02,91.3
Little Bay,T,N.L.,100,105,-4.8,1.66,60.4
Little Bay Islands,T,N.L.,0,71,-100,7.34,0
Little Burnt Bay,T,N.L.,238,281,-15.3,8.46,28.1
Lumsden,T,N.L.,535,501,6.8,19.2,27.9
Lushes Bight-Beaumont-Beaumont North,T,N.L.,169,168,0.6,34.52,4.9
Middle Arm,T,N.L.,443,474,-6.5,24.93,17.8
Miles Cove,T,N.L.,97,104,-6.7,3.98,24.3
Ming's Bight,T,N.L.,298,319,-6.6,3.81,78.3
Musgrave Harbour,T,N.L.,946,990,-4.4,67.3,14.1
Nippers Harbour,T,N.L.,74,85,-12.9,1.93,38.3
Pacquet,T,N.L.,145,164,-11.6,14.44,10
Pilley's Island,T,N.L.,286,294,-2.7,34.65,8.3
Point Leamington,T,N.L.,574,591,-2.9,26.8,21.4
Point of Bay,T,N.L.,137,154,-11,21.62,6.3
Port Anson,T,N.L.,42,130,-67.7,7.72,5.4
Robert's Arm,T,N.L.,722,805,-10.3,36.09,20
Seal Cove (White Bay),T,N.L.,281,303,-7.3,10.79,26.1
South Brook,T,N.L.,420,482,-12.9,8.72,48.1
Springdale,T,N.L.,"2,965","2,971",-0.2,17.46,169.8
Summerford,T,N.L.,805,906,-11.1,16.04,50.2
Tilt Cove,T,N.L.,5,5,0,3.1,1.6
Triton,T,N.L.,896,983,-8.9,7.54,118.9
Twillingate,T,N.L.,"2,121","2,196",-3.4,25.6,82.8
Westport,T,N.L.,185,195,-5.1,5.23,35.4
Woodstock,T,N.L.,195,190,2.6,10.05,19.4
Anchor Point,T,N.L.,305,314,-2.9,2.26,134.9
Bellburns,T,N.L.,52,53,-1.9,8.83,5.9
Bird Cove,T,N.L.,175,179,-2.2,7.69,22.8
Conche,T,N.L.,149,170,-12.4,10.03,14.9
Cook's Harbour,T,N.L.,118,123,-4.1,1.94,61
Cow Head,T,N.L.,398,428,-7,17.27,23.1
Daniel's Harbour,T,N.L.,220,253,-13,7.68,28.6
"Division No.  9, Subd. A",SNO,N.L.,183,121,51.2,"1,726.94",0.1
"Division No.  9, Subd. C",SNO,N.L.,"2,220","2,529",-12.2,"1,842.14",1.2
"Division No.  9, Subd. D",SNO,N.L.,534,643,-17,939.74,0.6
"Division No.  9, Subd. F",SNO,N.L.,81,71,14.1,"4,933.82",0
"Division No.  9, Subd. G",SNO,N.L.,96,41,134.1,"1,256.12",0.1
"Division No.  9, Subd. H",SNO,N.L.,155,159,-2.5,"2,096.29",0.1
Englee,T,N.L.,489,527,-7.2,28.82,17
Flower's Cove,T,N.L.,272,270,0.7,6.77,40.2
Glenburnie-Birchy Head-Shoal Brook,T,N.L.,241,224,7.6,6.52,36.9
Goose Cove East,T,N.L.,172,174,-1.1,2.71,63.5
Hawke's Bay,T,N.L.,297,315,-5.7,46.41,6.4
Main Brook,T,N.L.,246,243,1.2,28,8.8
Norris Point,T,N.L.,602,670,-10.1,4.84,124.4
Parson's Pond,T,N.L.,368,345,6.7,12.34,29.8
Port Saunders,T,N.L.,678,674,0.6,38.5,17.6
Port au Choix,T,N.L.,742,789,-6,35.56,20.9
Raleigh,T,N.L.,150,177,-15.3,11.27,13.3
River of Ponds,T,N.L.,173,215,-19.5,4.46,38.8
Rocky Harbour,T,N.L.,937,947,-1.1,12.08,77.6
Roddickton-Bide Arm,T,N.L.,928,999,-7.1,45.14,20.6
Sally's Cove,T,N.L.,15,20,-25,4.61,3.3
St. Anthony,T,N.L.,"2,180","2,258",-3.5,37.46,58.2
St. Lunaire-Griquet,T,N.L.,603,604,-0.2,17.29,34.9
