Population and dwelling counts: Canada and census subdivisions (municipalities) 1,,,,,,,
Frequency: Occasional,,,,,,,
Table: 98-10-0002-01,,,,,,,
Release date: 2022-02-09,,,,,,,
"Geography: Canada, Province or territory, Census division, Census subdivision",,,,,,,
"Universe: All persons, 2021 and 2016 censuses – 100% data",,,,,,,
Variable List: Population and dwelling counts (13),,,,,,,
,,,,,,,
,,Population and dwelling counts (13),"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Geographic name,Geographic area type abbreviation,Province or territory abbreviation,"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Sarnia,CY,Ont.,"72,047","71,594",0.6,163.9,439.6
Sarnia 45,IRI,Ont.,648,639,1.4,12.58,51.5
St. Clair,TP,Ont.,"14,659","14,086",4.1,618.57,23.7
Walpole Island 46 5,IRI,Ont.,..,"1,589",..,137.43,..
Warwick,TP,Ont.,"3,641","3,692",-1.4,290.21,12.5
Beckwith,TP,Ont.,"9,021","7,644",18,239.31,37.7
Carleton Place,T,Ont.,"12,517","10,644",17.6,9.94,"1,259.40"
Drummond/North Elmsley,TP,Ont.,"8,183","7,773",5.3,365.67,22.4
Lanark Highlands,TP,Ont.,"5,737","5,338",7.5,"1,031.52",5.6
Mississippi Mills,T,Ont.,"14,740","13,163",12,511.25,28.8
Montague,TP,Ont.,"3,914","3,761",4.1,278.47,14.1
Perth,T,Ont.,"6,469","5,930",9.1,12.21,529.8
Smiths Falls,T,Ont.,"9,254","8,780",5.4,9.66,958.1
Tay Valley,TP,Ont.,"5,925","5,665",4.6,528.67,11.2
Athens 3,TP,Ont.,"3,042","3,018",0.8,129.54,23.5
Augusta,TP,Ont.,"7,386","7,353",0.4,313.77,23.5
Brockville 3,CY,Ont.,"22,116","21,569",2.5,20.91,"1,057.80"
Edwardsburgh/Cardinal 3,TP,Ont.,"7,505","7,074",6.1,309.91,24.2
Elizabethtown-Kitley 3,TP,Ont.,"9,545","9,631",-0.9,555.96,17.2
Front of Yonge 3,TP,Ont.,"2,595","2,602",-0.3,125.25,20.7
Gananoque,T,Ont.,"5,383","5,159",4.3,7.01,768.4
Leeds and the Thousand Islands,TP,Ont.,"9,804","9,465",3.6,608.09,16.1
Merrickville-Wolford,VL,Ont.,"3,135","3,067",2.2,214.33,14.6
North Grenville,MU,Ont.,"17,964","16,451",9.2,351.9,51
Prescott,T,Ont.,"4,078","4,222",-3.4,4.94,826
Rideau Lakes,TP,Ont.,"10,883","10,326",5.4,711.81,15.3
Westport,VL,Ont.,634,590,7.5,2.19,289
Addington Highlands 3,TP,Ont.,"2,534","2,318",9.3,"1,293.99",2
Greater Napanee,T,Ont.,"16,879","15,892",6.2,462.3,36.5
Loyalist,TP,Ont.,"17,943","16,971",5.7,342.72,52.4
Stone Mills,TP,Ont.,"7,826","7,702",1.6,693.71,11.3
Assiginack,TP,Ont.,"1,008","1,013",-0.5,224.89,4.5
Billings,TP,Ont.,753,603,24.9,208.81,3.6
Burpee and Mills,TP,Ont.,382,343,11.4,217.33,1.8
Central Manitoulin,MU,Ont.,"2,235","2,084",7.2,427.61,5.2
Cockburn Island,TP,Ont.,16,0,...,168.9,0.1
Gordon/Barrie Island,MU,Ont.,613,490,25.1,263.44,2.3
Gore Bay,T,Ont.,808,867,-6.8,5.14,157.2
M'Chigeeng 22,IRI,Ont.,926,884,4.8,32.99,28.1
"Manitoulin, Unorganized, West Part",NO,Ont.,219,169,29.6,402.29,0.5
Northeastern Manitoulin and the Islands,MU,Ont.,"2,641","2,712",-2.6,489.19,5.4
Sheguiandah 24,IRI,Ont.,158,134,17.9,20.65,7.7
Sheshegwaning 20,IRI,Ont.,127,137,-7.3,20.06,6.3
Sucker Creek 23,IRI,Ont.,373,372,0.3,6.47,57.7
Tehkummah,TP,Ont.,450,436,3.2,131.7,3.4
Whitefish River 4,IRI,Ont.,457,456,0.2,39.73,11.5
Wikwemikong Unceded,IRI,Ont.,"2,728","2,500",9.1,409.04,6.7
Zhiibaahaasing 19A,IRI,Ont.,41,55,-25.5,5.28,7.8
Adelaide-Metcalfe,TP,Ont.,"3,011","2,990",0.7,331.11,9.1
Chippewas of the Thames First Nation 42 5,IRI,Ont.,..,..,..,42.49,..
London,CY,Ont.,"422,324","383,822",10,420.5,"1,004.30"
Lucan Biddulph,TP,Ont.,"5,680","4,700",20.9,169.08,33.6
Middlesex Centre,MU,Ont.,"18,928","17,262",9.7,588.16,32.2
Munsee-Delaware Nation 1,IRI,Ont.,129,153,-15.7,11.19,11.5
Newbury,VL,Ont.,440,466,-5.6,1.77,248.6
North Middlesex,MU,Ont.,"6,307","6,352",-0.7,598.65,10.5
Oneida 41 5,IRI,Ont.,..,..,..,22.14,..
Southwest Middlesex,MU,Ont.,"5,893","5,723",3,427.82,13.8
Strathroy-Caradoc,MU,Ont.,"23,871","20,867",14.4,270.86,88.1
Thames Centre,MU,Ont.,"13,980","13,191",6,433.99,32.2
Bracebridge,T,Ont.,"17,305","16,010",8.1,615.2,28.1
Georgian Bay 3,TP,Ont.,"3,441","2,514",36.9,525.29,6.6
Gravenhurst,T,Ont.,"13,157","12,311",6.9,489.11,26.9
Huntsville,T,Ont.,"21,147","19,816",6.7,705.18,30
Lake of Bays,TP,Ont.,"3,759","3,167",18.7,667.43,5.6
Moose Point 79,IRI,Ont.,213,208,2.4,3.14,67.9
Muskoka Lakes,TP,Ont.,"7,652","6,588",16.2,774.46,9.9
Wahta Mohawk Territory 5,IRI,Ont.,..,..,..,59.66,..
Fort Erie,T,Ont.,"32,901","30,710",7.1,166.24,197.9
Grimsby,T,Ont.,"28,883","27,314",5.7,68.71,420.4
Lincoln,T,Ont.,"25,719","23,787",8.1,162.74,158
Niagara Falls,CY,Ont.,"94,415","88,071",7.2,210.25,449.1
Niagara-on-the-Lake,T,Ont.,"19,088","17,511",9,131.35,145.3
Pelham,T,Ont.,"18,192","17,110",6.3,126.35,144
Port Colborne,CY,Ont.,"20,033","18,306",9.4,121.99,164.2
St. Catharines,CY,Ont.,"136,803","133,113",2.8,96.2,"1,422.10"
Thorold,CY,Ont.,"23,816","18,801",26.7,83.29,285.9
Wainfleet,TP,Ont.,"6,887","6,372",8.1,217.53,31.7
Welland,CY,Ont.,"55,750","52,293",6.6,81.16,686.9
West Lincoln,TP,Ont.,"15,454","14,500",6.6,387.02,39.9
Bear Island 1,IRI,Ont.,244,153,59.5,2.88,84.7
Bonfield 2,TP,Ont.,"2,146","1,990",7.8,206.22,10.4
Calvin,MU,Ont.,557,516,7.9,140.13,4
Chisholm,TP,Ont.,"1,312","1,291",1.6,205.77,6.4
East Ferris 2,MU,Ont.,"4,946","4,862",1.7,151.94,32.6
Mattawa,T,Ont.,"1,881","1,993",-5.6,3.67,513.1
Mattawan,TP,Ont.,153,161,-5,200.12,0.8
Nipissing 10,IRI,Ont.,"1,640","1,593",3,60.87,26.9
"Nipissing, Unorganized, North Part",NO,Ont.,"1,591","1,784",-10.8,"3,721.20",0.4
"Nipissing, Unorganized, South Part",NO,Ont.,102,103,-1,"6,711.51",0
North Bay,CY,Ont.,"52,662","51,553",2.2,315.53,166.9
Papineau-Cameron,TP,Ont.,982,"1,016",-3.3,564.23,1.7
South Algonquin,TP,Ont.,"1,055","1,096",-3.7,867.73,1.2
Temagami,MU,Ont.,862,802,7.5,"1,878.12",0.5
West Nipissing / Nipissing Ouest,M,Ont.,"14,583","14,364",1.5,"1,956.27",7.5
Alderville First Nation,IRI,Ont.,542,495,9.5,12.59,43
Alnwick/Haldimand,TP,Ont.,"7,473","6,869",8.8,398.25,18.8
Brighton,MU,Ont.,"12,108","11,844",2.2,223.24,54.2
Cobourg,T,Ont.,"20,519","19,440",5.6,22.41,915.7
Cramahe,TP,Ont.,"6,509","6,355",2.4,202.22,32.2
Hamilton,TP,Ont.,"11,059","10,942",1.1,256.03,43.2
Port Hope,MU,Ont.,"17,294","16,753",3.2,278.8,62
Trent Hills,MU,Ont.,"13,861","12,900",7.4,513.85,27
Ottawa,CV,Ont.,"1,017,449","934,243",8.9,"2,788.20",364.9
Blandford-Blenheim,TP,Ont.,"7,565","7,399",2.2,382.03,19.8
East Zorra-Tavistock 3,TP,Ont.,"7,841","7,113",10.2,241.96,32.4
Ingersoll,T,Ont.,"13,693","12,757",7.3,12.73,"1,075.30"
Norwich 3,TP,Ont.,"11,151","10,835",2.9,424.01,26.3
South-West Oxford 3,TP,Ont.,"7,583","7,634",-0.7,369.61,20.5
Tillsonburg,T,Ont.,"18,615","15,872",17.3,22.2,838.6
Woodstock 3,CY,Ont.,"46,705","41,098",13.6,56.46,827.2
Zorra,TP,Ont.,"8,628","8,138",6,529.19,16.3
Armour,TP,Ont.,"1,459","1,414",3.2,163.52,8.9
Burk's Falls,VL,Ont.,957,981,-2.4,3.09,310
Callander,MU,Ont.,"3,964","3,863",2.6,102.98,38.5
Carling,TP,Ont.,"1,491","1,125",32.5,244.32,6.1
Dokis 9,IRI,Ont.,201,344,-41.6,150.19,1.3
French River 13,IRI,Ont.,137,117,17.1,25.85,5.3
Henvey Inlet 2,IRI,Ont.,15,5,200,84.54,0.2
Joly,TP,Ont.,293,304,-3.6,193.95,1.5
Kearney,T,Ont.,974,882,10.4,528.21,1.8
Machar,TP,Ont.,969,882,9.9,182.65,5.3
Magnetawan,MU,Ont.,"1,753","1,390",26.1,526.31,3.3
Magnetewan 1,IRI,Ont.,102,101,1,44.41,2.3
McDougall,MU,Ont.,"2,744","2,702",1.6,264.02,10.4
McKellar,TP,Ont.,"1,419","1,111",27.7,176.07,8.1
McMurrich/Monteith,TP,Ont.,907,824,10.1,275.26,3.3
Naiscoutaing 17A 3,IRI,Ont.,0,0,...,10.01,0
Nipissing,TP,Ont.,"1,769","1,707",3.6,387.95,4.6
Parry Island First Nation,IRI,Ont.,367,317,15.8,71.31,5.1
Parry Sound,T,Ont.,"6,879","6,408",7.4,13.1,524.9
"Parry Sound, Unorganized, Centre Part",NO,Ont.,"2,495","2,143",16.4,"2,587.29",1
"Parry Sound, Unorganized, North East Part",NO,Ont.,179,187,-4.3,183.04,1
Perry,TP,Ont.,"2,650","2,454",8,186.34,14.2
Powassan,MU,Ont.,"3,346","3,455",-3.2,223.26,15
Ryerson,TP,Ont.,745,648,15,185.93,4
Seguin,TP,Ont.,"5,280","4,304",22.7,586.99,9
Shawanaga 17,IRI,Ont.,155,195,-20.5,32.25,4.8
South River,VL,Ont.,"1,101","1,114",-1.2,4.11,268
Strong,TP,Ont.,"1,566","1,439",8.8,158.88,9.9
Sundridge,VL,Ont.,938,961,-2.4,2.25,417.7
The Archipelago,TP,Ont.,979,531,84.4,592.14,1.7
Whitestone,MU,Ont.,"1,075",916,17.4,923.7,1.2
Brampton,CY,Ont.,"656,480","593,638",10.6,265.89,"2,469.00"
Caledon 3,T,Ont.,"76,581","66,502",15.2,688.82,111.2
Mississauga,CY,Ont.,"717,961","721,599",-0.5,292.74,"2,452.50"
North Perth,MU,Ont.,"15,538","13,130",18.3,493.09,31.5
Perth East 3,TP,Ont.,"12,595","12,277",2.6,711.93,17.7
Perth South 3,TP,Ont.,"3,776","3,805",-0.8,391.88,9.6
St. Marys,T,Ont.,"7,386","7,265",1.7,12.44,593.8
Stratford 3,CY,Ont.,"33,232","31,470",5.6,30.02,"1,107.00"
West Perth,MU,Ont.,"9,038","8,865",2,578.88,15.6
Asphodel-Norwood,TP,Ont.,"4,658","4,109",13.4,161.62,28.8
Cavan Monaghan,TP,Ont.,"10,016","8,829",13.4,306.39,32.7
Curve Lake First Nation 35,IRI,Ont.,"1,244","1,059",17.5,6.64,187.4
Douro-Dummer,TP,Ont.,"7,632","6,709",13.8,459.46,16.6
Havelock-Belmont-Methuen,TP,Ont.,"5,083","4,530",12.2,529.35,9.6
Hiawatha First Nation,IRI,Ont.,341,362,-5.8,8.93,38.2
North Kawartha,TP,Ont.,"2,877","2,479",16.1,746.35,3.9
Otonabee-South Monaghan,TP,Ont.,"7,087","6,670",6.3,346.15,20.5
Peterborough,CY,Ont.,"83,651","81,032",3.2,64.76,"1,291.80"
Selwyn,TP,Ont.,"18,653","17,060",9.3,316.12,59
Trent Lakes,MU,Ont.,"6,439","5,397",19.3,833.72,7.7
Alfred and Plantagenet,TP,Ont.,"9,949","9,680",2.8,391.79,25.4
Casselman,VL,Ont.,"3,960","3,548",11.6,5.13,772.2
Champlain,TP,Ont.,"8,665","8,706",-0.5,207.02,41.9
Clarence-Rockland,C,Ont.,"26,505","24,512",8.1,297.47,89.1
East Hawkesbury,TP,Ont.,"3,418","3,296",3.7,235.06,14.5
Hawkesbury,T,Ont.,"10,194","10,263",-0.7,10.1,"1,009.70"
Russell,TP,Ont.,"19,598","16,520",18.6,198.78,98.6
The Nation / La Nation,M,Ont.,"13,350","12,808",4.2,658.93,20.3
Prince Edward County,CY,Ont.,"25,704","24,735",3.9,"1,052.61",24.4
Agency 1,IRI,Ont.,0,0,...,0.48,0
Alberton,TP,Ont.,954,969,-1.5,116.6,8.2
Assabaska 3,IRI,Ont.,0,0,...,8.71,0
Atikokan,T,Ont.,"2,642","2,753",-4,313.64,8.4
Big Grassy River 35G,IRI,Ont.,251,235,6.8,33.73,7.4
Big Island Mainland 93,IRI,Ont.,5,10,-50,0.42,11.8
Chapple 3,TP,Ont.,763,643,18.7,558.15,1.4
Couchiching 16A,IRI,Ont.,633,810,-21.9,65.47,9.7
Dawson,TP,Ont.,399,468,-14.7,343.42,1.2
Emo,TP,Ont.,"1,204","1,333",-9.7,202.28,6
Fort Frances,T,Ont.,"7,466","7,739",-3.5,25.55,292.2
La Vallee,TP,Ont.,788,938,-16,237.12,3.3
Lake of the Woods 3,TP,Ont.,308,230,33.9,746.24,0.4
Manitou Rapids 11,IRI,Ont.,300,283,6,22.73,13.2
Morley,TP,Ont.,493,481,2.5,388.38,1.3
Neguaguon Lake 25D,IRI,Ont.,118,177,-33.3,62.7,1.9
Rainy Lake 17A,IRI,Ont.,234,211,10.9,14.22,16.5
Rainy Lake 17B,IRI,Ont.,5,5,0,9.81,0.5
Rainy Lake 18C,IRI,Ont.,125,115,8.7,17.93,7
Rainy Lake 26A,IRI,Ont.,158,157,0.6,24.12,6.6
Rainy River,T,Ont.,752,807,-6.8,3.12,241.4
"Rainy River, Unorganized 3",NO,Ont.,"1,423","1,380",3.1,"12,163.33",0.1
Saug-A-Gaw-Sing 1,IRI,Ont.,136,98,38.8,0.68,200.9
Seine River 23A,IRI,Ont.,270,263,2.7,15.72,17.2
Sturgeon Falls 23 3,IRI,Ont.,10,5,100,26.43,0.4
Admaston/Bromley,TP,Ont.,"2,995","2,935",2,519.59,5.8
Arnprior,T,Ont.,"9,629","8,795",9.5,13.04,738.5
Bonnechere Valley,TP,Ont.,"3,898","3,674",6.1,588.36,6.6
"Brudenell, Lyndoch and Raglan",TP,Ont.,"1,552","1,503",3.3,701.29,2.2
Deep River,T,Ont.,"4,175","4,109",1.6,50.27,83
Greater Madawaska,TP,Ont.,"2,864","2,518",13.7,"1,018.15",2.8
"Head, Clara and Maria",TP,Ont.,267,248,7.7,719.2,0.4
Horton,TP,Ont.,"3,182","2,887",10.2,158.02,20.1
"Killaloe, Hagarty and Richards",TP,Ont.,"2,410","2,420",-0.4,391.6,6.2
Laurentian Hills,T,Ont.,"2,885","2,961",-2.6,634.31,4.5
Laurentian Valley,TP,Ont.,"9,450","9,387",0.7,539.08,17.5
Madawaska Valley,TP,Ont.,"3,927","4,123",-4.8,665.83,5.9
McNab/Braeside,TP,Ont.,"7,591","7,178",5.8,255.28,29.7
North Algona Wilberforce,TP,Ont.,"3,111","2,915",6.7,369.23,8.4
Pembroke,CY,Ont.,"14,364","13,882",3.5,14.32,"1,002.80"
Petawawa,T,Ont.,"18,160","17,187",5.7,164.7,110.3
Pikwakanagan (Golden Lake 39),IRI,Ont.,490,440,11.4,7.38,66.4
Renfrew,T,Ont.,"8,190","8,223",-0.4,12.81,639.3
Whitewater Region,TP,Ont.,"7,225","7,009",3.1,535.48,13.5
Adjala-Tosorontio,TP,Ont.,"10,989","10,975",0.1,371.53,29.6
Barrie,CY,Ont.,"147,829","141,434",4.5,99.01,"1,493.10"
Bradford West Gwillimbury,T,Ont.,"42,880","35,325",21.4,200.68,213.7
Chippewas of Rama First Nation,IRI,Ont.,998,878,13.7,11.15,89.5
Christian Island 30,IRI,Ont.,679,614,10.6,51.91,13.1
Christian Island 30A,IRI,Ont.,30,42,-28.6,0.07,424.3
Clearview,TP,Ont.,"14,814","14,151",4.7,556.37,26.6
Collingwood,T,Ont.,"24,811","21,793",13.8,33.15,748.3
Essa,TP,Ont.,"22,970","21,083",9,279.92,82.1
Innisfil,T,Ont.,"43,326","36,566",18.5,262.39,165.1
Midland,T,Ont.,"17,817","16,864",5.7,35.33,504.3
New Tecumseth,T,Ont.,"43,948","34,242",28.3,273.87,160.5
Orillia,CY,Ont.,"33,411","31,166",7.2,28.53,"1,171.10"
Oro-Medonte,TP,Ont.,"23,017","21,036",9.4,585.42,39.3
Penetanguishene,T,Ont.,"10,077","8,962",12.4,25.42,396.4
Ramara,TP,Ont.,"10,377","9,488",9.4,414.94,25
Severn 3,TP,Ont.,"14,576","13,462",8.3,523.06,27.9
Springwater,TP,Ont.,"21,701","19,059",13.9,535.85,40.5
Tay 3,TP,Ont.,"11,091","10,033",10.5,137.86,80.5
Tiny,TP,Ont.,"12,966","11,787",10,335.05,38.7
Wasaga Beach,T,Ont.,"24,862","20,675",20.3,57.42,433
Akwesasne (Part) 59 2 5,IRI,Ont.,..,"1,693",..,11.81,..
Cornwall,CY,Ont.,"47,845","46,589",2.7,61.5,777.9
North Dundas,TP,Ont.,"11,304","11,278",0.2,502.41,22.5
North Glengarry,TP,Ont.,"10,144","10,109",0.3,643.4,15.8
North Stormont,TP,Ont.,"7,400","6,873",7.7,515.46,14.4
South Dundas 3,MU,Ont.,"11,044","10,852",1.8,521.54,21.2
South Glengarry,TP,Ont.,"13,330","13,150",1.4,605.02,22
South Stormont,TP,Ont.,"13,570","13,110",3.5,447.71,30.3
Baldwin 2,TP,Ont.,579,605,-4.3,82.49,7
Chapleau,TP,Ont.,"1,942","1,964",-1.1,13.2,147.1
Chapleau 74A,IRI,Ont.,17,21,-19,7.61,2.2
Chapleau 75,IRI,Ont.,0,0,...,1.17,0
Chapleau Cree Fox Lake 3,IRI,Ont.,62,47,31.9,9.25,6.7
Duck Lake 76B,IRI,Ont.,154,85,81.2,1.86,82.9
Espanola 2,T,Ont.,"5,185","5,048",2.7,81,64
French River / Rivière des Français,M,Ont.,"2,828","2,662",6.2,717.91,3.9
Killarney,MU,Ont.,397,386,2.8,"1,469.40",0.3
Markstay-Warren,MU,Ont.,"2,708","2,656",2,505.92,5.4
Mattagami 71,IRI,Ont.,210,190,10.5,46.43,4.5
Nairn and Hyman,TP,Ont.,373,342,9.1,159.18,2.3
Point Grondine 3 3,IRI,Ont.,5,0,...,138.55,0
Sables-Spanish Rivers 2,TP,Ont.,"3,237","3,188",1.5,801.04,4
St.-Charles,MU,Ont.,"1,357","1,269",6.9,314.46,4.3
"Sudbury, Unorganized, North Part 2",NO,Ont.,"2,902","2,697",7.6,"35,377.17",0.1
Whitefish Lake 6,IRI,Ont.,412,386,6.7,170.16,2.4
Aroland,S-É,Ont.,178,366,-51.4,3.34,53.3
Conmee,TP,Ont.,798,819,-2.6,167.65,4.8
Dorion,TP,Ont.,375,316,18.7,211.25,1.8
Fort William 52 3,IRI,Ont.,964,981,-1.7,58.5,16.5
Gillies,TP,Ont.,441,474,-7,92.68,4.8
Ginoogaming First Nation,IRI,Ont.,200,210,-4.8,68.65,2.9
Greenstone 3,MU,Ont.,"4,309","4,636",-7.1,"2,727.04",1.6
Gull River 55,IRI,Ont.,110,247,-55.5,39.77,2.8
Lac des Mille Lacs 22A1,IRI,Ont.,0,0,...,17.32,0
Lake Helen 53A,IRI,Ont.,240,293,-18.1,0.86,277.8
Lake Nipigon,IRI,Ont.,0,0,...,12.89,0
Long Lake 58,IRI,Ont.,410,385,6.5,2.75,149
Manitouwadge,TP,Ont.,"1,974","1,937",1.9,352.17,5.6
Marathon,T,Ont.,"3,138","3,273",-4.1,167.03,18.8
Neebing 3,MU,Ont.,"2,241","2,055",9.1,873.78,2.6
Nipigon,TP,Ont.,"1,473","1,642",-10.3,107.94,13.6
O'Connor,TP,Ont.,689,663,3.9,108.56,6.3
Ojibway Nation of Saugeen (Savant Lake),IRI,Ont.,88,90,-2.2,57.06,1.5
Oliver Paipoonge,MU,Ont.,"6,035","5,922",1.9,350.51,17.2
Osnaburgh 63A,IRI,Ont.,233,232,0.4,47.48,4.9
Pays Plat 51,IRI,Ont.,100,89,12.4,2.03,49.3
Pic Mobert North,IRI,Ont.,138,197,-29.9,1.67,82.5
Pic Mobert South,IRI,Ont.,127,125,1.6,0.32,401.6
Pic River 50,IRI,Ont.,372,443,-16,4.03,92.3
Red Rock,TP,Ont.,895,895,0,62.1,14.4
Red Rock 53 3,IRI,Ont.,0,5,-100,2.24,0
Rocky Bay 1,IRI,Ont.,154,184,-16.3,0.26,592.8
Sand Point First Nation 3,IRI,Ont.,5,0,...,10.71,0.5
Schreiber,TP,Ont.,"1,039","1,059",-1.9,35.81,29
Shuniah,MU,Ont.,"3,247","2,798",16,571.34,5.7
Terrace Bay,TP,Ont.,"1,528","1,611",-5.2,151.5,10.1
Thunder Bay,CY,Ont.,"108,843","107,909",0.9,327.77,332.1
"Thunder Bay, Unorganized 3",NO,Ont.,"6,221","5,867",6,"96,255.92",0.1
Whitesand,IRI,Ont.,297,325,-8.6,2.56,116.2
Armstrong,TP,Ont.,"1,199","1,166",2.8,90.16,13.3
Brethour 2,TP,Ont.,105,124,-15.3,81.97,1.3
Casey,TP,Ont.,341,368,-7.3,80.8,4.2
Chamberlain,TP,Ont.,311,332,-6.3,110.81,2.8
Charlton and Dack,MU,Ont.,686,686,0,92.74,7.4
Cobalt,T,Ont.,989,"1,128",-12.3,2.07,478.5
Coleman,TP,Ont.,517,595,-13.1,177.95,2.9
Englehart,T,Ont.,"1,442","1,479",-2.5,2.92,494.2
Evanturel,TP,Ont.,502,449,11.8,89.21,5.6
Gauthier,TP,Ont.,151,138,9.4,87.98,1.7
Harley,TP,Ont.,524,551,-4.9,92.34,5.7
Harris,TP,Ont.,530,545,-2.8,49.81,10.6
Hilliard 2,TP,Ont.,215,207,3.9,91.27,2.4
Hudson,TP,Ont.,530,503,5.4,90.28,5.9
James,TP,Ont.,348,420,-17.1,85.4,4.1
Kerns,TP,Ont.,330,358,-7.8,90.66,3.6
Kirkland Lake,T,Ont.,"7,750","7,981",-2.9,261.29,29.7
Larder Lake,TP,Ont.,745,730,2.1,227.62,3.3
Latchford,T,Ont.,355,313,13.4,152.26,2.3
Matachewan,TP,Ont.,268,225,19.1,539.56,0.5
Matachewan 72,IRI,Ont.,66,61,8.2,33.09,2
McGarry,TP,Ont.,579,609,-4.9,85.62,6.8
Temiskaming Shores,CY,Ont.,"9,634","9,920",-2.9,176.67,54.5
Thornloe,VL,Ont.,92,112,-17.9,6.59,14
"Timiskaming, Unorganized, East Part",NO,Ont.,5,5,0,248.55,0
"Timiskaming, Unorganized, West Part",NO,Ont.,"3,210","3,257",-1.4,"10,199.80",0.3
Toronto,C,Ont.,"2,794,356","2,731,571",2.3,631.1,"4,427.80"
Cambridge,CY,Ont.,"138,479","129,920",6.6,112.99,"1,225.50"
Kitchener,CY,Ont.,"256,885","233,222",10.1,136.81,"1,877.60"
North Dumfries,TP,Ont.,"10,619","10,215",4,188.09,56.5
Waterloo,CY,Ont.,"121,436","104,986",15.7,64.06,"1,895.80"
Wellesley,TP,Ont.,"11,318","11,260",0.5,277.74,40.8
Wilmot,TP,Ont.,"21,429","20,545",4.3,263.81,81.2
Woolwich,TP,Ont.,"26,999","25,006",8,326.56,82.7
Centre Wellington,TP,Ont.,"31,093","28,191",10.3,409.41,75.9
Erin,T,Ont.,"11,981","11,439",4.7,298.81,40.1
Guelph,CY,Ont.,"143,740","131,794",9.1,87.43,"1,644.10"
Guelph/Eramosa,TP,Ont.,"13,904","12,854",8.2,292.84,47.5
Mapleton,TP,Ont.,"10,839","10,527",3,535.56,20.2
Minto,T,Ont.,"9,094","8,671",4.9,300.19,30.3
Puslinch,TP,Ont.,"7,944","7,336",8.3,214.82,37
Wellington North,TP,Ont.,"12,431","11,914",4.3,526.31,23.6
Aurora,T,Ont.,"62,057","55,445",11.9,50,"1,241.10"
Chippewas of Georgina Island First Nation,IRI,Ont.,231,261,-11.5,14.47,16
East Gwillimbury,T,Ont.,"34,637","23,991",44.4,244.91,141.4
Georgina,T,Ont.,"47,642","45,418",4.9,287.69,165.6
King,TP,Ont.,"27,333","24,512",11.5,332.12,82.3
Markham,CY,Ont.,"338,503","328,966",2.9,210.93,"1,604.80"
Newmarket,T,Ont.,"87,942","84,224",4.4,38.5,"2,284.10"
Richmond Hill,T,Ont.,"202,022","195,022",3.6,100.79,"2,004.40"
Vaughan,CY,Ont.,"323,103","306,233",5.5,272.44,"1,185.90"
Whitchurch-Stouffville,T,Ont.,"49,864","45,837",8.8,206.42,241.6
Alexander,RM,Man.,"3,854","3,333",15.6,"1,560.05",2.5
Buffalo Point 36 2,IRI,Man.,219,168,30.4,16.6,13.2
"Division No.  1, Unorganized",NO,Man.,"1,380","1,023",34.9,"4,103.28",0.3
Lac du Bonnet,RM,Man.,"3,563","3,121",14.2,"1,097.61",3.2
Lac du Bonnet,T,Man.,"1,064","1,089",-2.3,2.26,470.7
Pinawa,LGD,Man.,"1,558","1,504",3.6,126.51,12.3
Piney,RM,Man.,"1,843","1,726",6.8,"2,430.32",0.8
Powerview-Pine Falls,T,Man.,"1,239","1,316",-5.9,4.82,257
Reynolds,RM,Man.,"1,344","1,338",0.4,"3,559.65",0.4
Shoal Lake (Part) 40,IRI,Man.,0,0,...,21.35,0
Stuartburn,RM,Man.,"1,731","1,648",5,"1,161.45",1.5
Victoria Beach,RM,Man.,689,398,73.1,20.71,33.3
Whitemouth,RM,Man.,"1,630","1,557",4.7,697.35,2.3
De Salaberry,RM,Man.,"3,918","3,580",9.4,667.57,5.9
Emerson-Franklin,MU,Man.,"2,437","2,537",-3.9,970.19,2.5
Hanover 3,RM,Man.,"17,216","15,540",10.8,730.44,23.6
La Broquerie,RM,Man.,"6,725","6,076",10.7,578.97,11.6
Niverville,T,Man.,"5,947","4,610",29,8.7,683.7
Ritchot,RM,Man.,"7,469","6,679",11.8,332.23,22.5
Roseau Rapids 2A,IRI,Man.,100,114,-12.3,8.9,11.2
Roseau River 2,IRI,Man.,564,558,1.1,22.18,25.4
St-Pierre-Jolys,VL,Man.,"1,305","1,170",11.5,2.61,500.5
Ste. Anne,RM,Man.,"5,584","5,003",11.6,476.81,11.7
Ste. Anne,T,Man.,"2,891","2,114",36.8,4.14,699
Steinbach 3,CY,Man.,"17,806","16,022",11.1,37.56,474.1
Taché,RM,Man.,"11,916","11,568",3,580.64,20.5
Altona,T,Man.,"4,267","4,212",1.3,9.35,456.3
Carman,T,Man.,"3,114","3,164",-1.6,4.32,721.5
Dufferin,RM,Man.,"2,543","2,435",4.4,916.11,2.8
Montcalm,RM,Man.,"1,278","1,260",1.4,468.25,2.7
Morden,CY,Man.,"9,929","8,668",14.5,16.29,609.6
Morris,RM,Man.,"3,049","3,047",0.1,"1,035.32",2.9
Morris,T,Man.,"1,975","1,885",4.8,5.91,334.1
Rhineland,MU,Man.,"5,819","5,945",-2.1,958.48,6.1
Roland,RM,Man.,"1,145","1,129",1.4,484.47,2.4
Stanley 4,RM,Man.,"8,981","8,969",0.1,835.18,10.8
